Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
141,2024-08-12,,09:16:00,79470.43,,,,,2024-08-12,,15:15:00,79659.53,-454.0,,,93.95000000000005,-579.05,Exit Condition Met For Trade
141.1,2024-08-12,Monday,10:54:00,50.05,10,CE,81500.0,Buy,2024-08-12,Monday,15:15:00,34.95,-150.99999999999994,-30.169830169830163,2024-08-16,,,Exit Condition Met For Trade
141.2,2024-08-12,Monday,09:17:00,70.2,10,PE,77000.0,Buy,2024-08-12,Monday,15:15:00,39.9,-303.00000000000006,-43.162393162393165,2024-08-16,,,Exit Condition Met For Trade
142,2024-08-13,,09:16:00,79610.26,,,,,2024-08-13,,15:15:00,78919.19,41.0,,,156.95000000000005,-45.049999999999955,Exit Condition Met For Trade
142.2,2024-08-13,Tuesday,14:05:00,56.8,10,PE,77500.0,Buy,2024-08-13,Tuesday,15:15:00,60.9,41.000000000000014,7.218309859154932,2024-08-16,,,Exit Condition Met For Trade
143,2024-08-16,,09:16:00,79723.87,,,,,2024-08-16,,15:15:00,80471.09,750.0,,,750.0,-0.05,Exit Condition Met For Trade
143.1,2024-08-16,Friday,09:19:00,64.9,10,CE,80200.0,Buy,2024-08-16,Friday,09:26:00,139.9,750.0,115.56240369799691,2024-08-16,,,Target Hit
144,2024-08-20,,09:16:00,80623.77,,,,,2024-08-20,,15:15:00,80791.44,-195.5,,,103.95000000000005,-206.04999999999995,Exit Condition Met For Trade
144.1,2024-08-20,Tuesday,10:06:00,57.55,10,CE,82000.0,Buy,2024-08-20,Tuesday,15:15:00,38.0,-195.49999999999997,-33.97046046915725,2024-08-23,,,Exit Condition Met For Trade
145,2024-08-21,,09:16:00,80725.96,,,,,2024-08-21,,15:15:00,80889.92,-166.5,,,36.450000000000045,-277.04999999999995,Exit Condition Met For Trade
145.1,2024-08-21,Wednesday,10:26:00,65.75,10,CE,81800.0,Buy,2024-08-21,Wednesday,15:15:00,49.1,-166.5,-25.323193916349805,2024-08-23,,,Exit Condition Met For Trade
146,2024-08-23,,09:16:00,81031.68,,,,,2024-08-23,,15:15:00,81069.07,-569.0,,,0,-569.05,Exit Condition Met For Trade
146.2,2024-08-23,Friday,09:17:00,57.0,10,PE,80400.0,Buy,2024-08-23,Friday,15:15:00,0.1,-569.0,-99.82456140350877,2024-08-23,,,Exit Condition Met For Trade
147,2024-08-26,,09:16:00,81292.98,,,,,2024-08-26,,15:15:00,81698.26,-180.0,,,155.45000000000005,-180.0,Exit Condition Met For Trade
147.1,2024-08-26,Monday,09:56:00,62.75,10,CE,83000.0,Buy,2024-08-26,Monday,15:15:00,44.75,-180.0,-28.685258964143426,2024-08-30,,,Exit Condition Met For Trade
148,2024-08-28,,09:16:00,81760.53,,,,,2024-08-28,,15:15:00,81785.78,-192.5,,,332.95000000000005,-197.04999999999995,Exit Condition Met For Trade
148.1,2024-08-28,Wednesday,11:21:00,58.55,10,CE,82700.0,Buy,2024-08-28,Wednesday,15:15:00,39.3,-192.5,-32.87788215200683,2024-08-30,,,Exit Condition Met For Trade
149,2024-08-29,,09:16:00,81737.45,,,,,2024-08-29,,15:15:00,82064.01,750.0,,,750.0,-67.54999999999995,Exit Condition Met For Trade
149.1,2024-08-29,Thursday,09:26:00,64.0,10,CE,82400.0,Buy,2024-08-29,Thursday,12:30:00,139.0,750.0,117.1875,2024-08-30,,,Target Hit
150,2024-08-30,,09:16:00,82469.71,,,,,2024-08-30,,15:15:00,82416.73,-636.5,,,215.95000000000005,-636.5,Exit Condition Met For Trade
150.2,2024-08-30,Friday,09:33:00,63.9,10,PE,81900.0,Buy,2024-08-30,Friday,15:15:00,0.25,-636.5,-99.60876369327073,2024-08-30,,,Exit Condition Met For Trade
151,2024-09-04,,09:16:00,82030.17,,,,,2024-09-04,,15:15:00,82381.88,-334.0,,,0,-407.04999999999995,Exit Condition Met For Trade
151.1,2024-09-04,Wednesday,13:16:00,61.55,10,CE,83100.0,Buy,2024-09-04,Wednesday,15:15:00,63.8,22.5,3.6555645816409426,2024-09-06,,,Exit Condition Met For Trade
151.2,2024-09-04,Wednesday,09:17:00,62.5,10,PE,80800.0,Buy,2024-09-04,Wednesday,15:15:00,26.85,-356.5,-57.04,2024-09-06,,,Exit Condition Met For Trade
152,2024-09-05,,09:16:00,82509.11,,,,,2024-09-05,,15:15:00,82225.44,-180.5,,,163.45000000000005,-303.04999999999995,Exit Condition Met For Trade
152.2,2024-09-05,Thursday,09:28:00,56.7,10,PE,81600.0,Buy,2024-09-05,Thursday,15:15:00,38.65,-180.50000000000006,-31.834215167548507,2024-09-06,,,Exit Condition Met For Trade
153,2024-09-06,,09:16:00,82083.41,,,,,2024-09-06,,09:30:00,82144.87,781.5,,,781.5,-46.549999999999955,Square Off All Legs due to Target Profit
153.1,2024-09-06,Friday,09:29:00,73.45,10,CE,82400.0,Buy,2024-09-06,Friday,09:30:00,148.45,749.9999999999999,102.11027910142951,2024-09-06,,,Target Hit
153.2,2024-09-06,Friday,09:22:00,67.6,10,PE,81700.0,Buy,2024-09-06,Friday,09:30:00,70.75,31.500000000000057,4.659763313609476,2024-09-06,,,Square Off All Legs due to Target Profit
