Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
6.1,2023-12-18,Monday,09:25:00,78.9,10,CE,73000.0,Buy,2023-12-18,Monday,09:31:00,103.9,250.0,31.685678073510772,2023-12-22,,,Target Hit
7,2023-12-20,,09:16:00,71754.52,,,,,2023-12-20,,15:15:00,70489.62,250.0,,,250.0,-31.549999999999955,Exit Condition Met For Trade
7.2,2023-12-20,Wednesday,13:25:00,80.7,10,PE,70800.0,Buy,2023-12-20,Wednesday,13:28:00,105.7,250.0,30.97893432465923,2023-12-22,,,Target Hit
8,2023-12-21,,09:16:00,70098.45,,,,,2023-12-21,,15:15:00,70886.21,-231.0,,,0,-231.04999999999995,Exit Condition Met For Trade
8.2,2023-12-21,Thursday,09:17:00,75.0,10,PE,68700.0,Buy,2023-12-21,Thursday,09:18:00,51.9,-231.0,-30.8,2023-12-22,,,Stop Loss Hit
9,2023-12-22,,09:16:00,70892.04,,,,,2023-12-22,,15:15:00,71116.07,-200.0,,,0,-200.04999999999995,Exit Condition Met For Trade
9.1,2023-12-22,Friday,09:18:00,75.45,10,CE,71200.0,Buy,2023-12-22,Friday,09:21:00,55.45,-200.0,-26.50762094102054,2023-12-22,,,Stop Loss Hit
10,2023-12-26,,09:16:00,71088.27,,,,,2023-12-26,,15:15:00,71319.84,-200.0,,,0,-200.04999999999995,Exit Condition Met For Trade
10.1,2023-12-26,Tuesday,09:18:00,87.95,10,CE,72800.0,Buy,2023-12-26,Tuesday,09:19:00,67.95,-200.0,-22.740193291642978,2023-12-29,,,Stop Loss Hit
11,2023-12-28,,09:16:00,72216.59,,,,,2023-12-28,,15:15:00,72405.87,-200.0,,,109.95000000000005,-200.04999999999995,Exit Condition Met For Trade
11.1,2023-12-28,Thursday,09:22:00,70.55,10,CE,73300.0,Buy,2023-12-28,Thursday,10:05:00,50.55,-200.0,-28.34868887313962,2023-12-29,,,Stop Loss Hit
12,2024-01-01,,09:16:00,72134.08,,,,,2024-01-01,,15:15:00,72194.55,-200.0,,,30.950000000000045,-200.04999999999995,Exit Condition Met For Trade
12.1,2024-01-01,Monday,14:51:00,73.7,10,CE,74000.0,Buy,2024-01-01,Monday,15:02:00,53.7,-200.0,-27.137042062415194,2024-01-05,,,Stop Loss Hit
13,2024-01-02,,09:16:00,72150.56,,,,,2024-01-02,,15:15:00,71886.1,250.0,,,250.0,-101.54999999999995,Exit Condition Met For Trade
13.2,2024-01-02,Tuesday,10:28:00,75.9,10,PE,70500.0,Buy,2024-01-02,Tuesday,10:38:00,100.9,250.0,32.93807641633728,2024-01-05,,,Target Hit
14,2024-01-04,,09:16:00,71595.38,,,,,2024-01-04,,15:15:00,71830.94,250.0,,,250.0,-121.54999999999995,Exit Condition Met For Trade
14.1,2024-01-04,Thursday,09:30:00,69.45,10,CE,72200.0,Buy,2024-01-04,Thursday,12:48:00,94.45,250.0,35.99712023038157,2024-01-05,,,Target Hit
15,2024-01-05,,09:16:00,72121.89,,,,,2024-01-05,,15:15:00,72060.84,-200.0,,,0,-200.04999999999995,Exit Condition Met For Trade
15.2,2024-01-05,Friday,10:44:00,68.6,10,PE,71900.0,Buy,2024-01-05,Friday,10:45:00,48.6,-199.99999999999994,-29.15451895043731,2024-01-05,,,Stop Loss Hit
16,2024-01-08,,09:16:00,72079.35,,,,,2024-01-08,,15:15:00,71362.3,-204.5,,,0,-204.54999999999995,Exit Condition Met For Trade
16.2,2024-01-08,Monday,09:17:00,95.0,10,PE,70700.0,Buy,2024-01-08,Monday,09:18:00,74.55,-204.50000000000003,-21.526315789473685,2024-01-12,,,Stop Loss Hit
17,2024-01-09,,09:16:00,71767.86,,,,,2024-01-09,,15:15:00,71400.97,250.0,,,250.0,-30.049999999999955,Exit Condition Met For Trade
17.2,2024-01-09,Tuesday,09:37:00,76.65,10,PE,70800.0,Buy,2024-01-09,Tuesday,09:42:00,101.65,250.0,32.615786040443574,2024-01-12,,,Target Hit
18,2024-01-10,,09:16:00,71359.25,,,,,2024-01-10,,15:15:00,71630.27,-215.0,,,0,-215.04999999999995,Exit Condition Met For Trade
18.2,2024-01-10,Wednesday,09:31:00,73.7,10,PE,69900.0,Buy,2024-01-10,Wednesday,09:32:00,52.2,-215.0,-29.172320217096335,2024-01-12,,,Stop Loss Hit
19,2024-01-11,,09:16:00,71924.82,,,,,2024-01-11,,15:15:00,71726.94,-200.0,,,59.450000000000045,-200.04999999999995,Exit Condition Met For Trade
19.2,2024-01-11,Thursday,09:43:00,71.4,10,PE,71300.0,Buy,2024-01-11,Thursday,10:39:00,51.4,-200.00000000000006,-28.011204481792724,2024-01-12,,,Stop Loss Hit
20,2024-01-12,,09:16:00,72036.33,,,,,2024-01-12,,15:15:00,72508.38,-200.0,,,0,-200.04999999999995,Exit Condition Met For Trade
20.2,2024-01-12,Friday,09:28:00,71.2,10,PE,71800.0,Buy,2024-01-12,Friday,09:29:00,51.2,-200.0,-28.089887640449437,2024-01-12,,,Stop Loss Hit
21,2024-01-17,,09:16:00,72249.05,,,,,2024-01-17,,09:18:00,72398.25,-195.0,,,0,-195.04999999999995,Square Off All Legs due to Stop Loss
21.1,2024-01-17,Wednesday,09:17:00,60.0,10,CE,73500.0,Buy,2024-01-17,Wednesday,09:18:00,60.5,5.0,0.8333333333333334,2024-01-19,,,Square Off All Legs due to Stop Loss
21.2,2024-01-17,Wednesday,09:17:00,85.7,10,PE,70800.0,Buy,2024-01-17,Wednesday,09:18:00,65.7,-200.0,-23.337222870478413,2024-01-19,,,Stop Loss Hit
22,2024-01-18,,09:16:00,71099.24,,,,,2024-01-18,,15:15:00,71186.32,250.0,,,250.0,-0.05,Exit Condition Met For Trade
22.2,2024-01-18,Thursday,09:37:00,81.15,10,PE,69900.0,Buy,2024-01-18,Thursday,09:49:00,106.15,250.0,30.80714725816389,2024-01-19,,,Target Hit
23,2024-01-19,,09:16:00,71758.48,,,,,2024-01-19,,15:15:00,71678.55,-200.0,,,0,-200.04999999999995,Exit Condition Met For Trade
23.2,2024-01-19,Friday,09:33:00,78.2,10,PE,71500.0,Buy,2024-01-19,Friday,09:34:00,58.2,-200.0,-25.57544757033248,2024-01-19,,,Stop Loss Hit
24,2024-01-20,,09:16:00,71996.71,,,,,2024-01-20,,15:15:00,71461.91,-403.0,,,0,-403.04999999999995,Exit Condition Met For Trade
24.2,2024-01-20,Saturday,09:40:00,72.0,10,PE,69600.0,Buy,2024-01-20,Saturday,09:41:00,31.7,-403.0,-55.972222222222214,2024-01-25,,,Stop Loss Hit
25,2024-01-23,,09:16:00,71967.06,,,,,2024-01-23,,15:15:00,70384.73,250.0,,,250.0,-0.05,Exit Condition Met For Trade
25.2,2024-01-23,Tuesday,09:59:00,78.75,10,PE,70900.0,Buy,2024-01-23,Tuesday,10:02:00,103.75,250.0,31.746031746031747,2024-01-25,,,Target Hit
26,2024-01-24,,09:16:00,70251.67,,,,,2024-01-24,,15:15:00,71061.27,250.0,,,250.0,-0.05,Exit Condition Met For Trade
26.1,2024-01-24,Wednesday,09:22:00,73.5,10,CE,71200.0,Buy,2024-01-24,Wednesday,09:23:00,98.5,250.0,34.01360544217687,2024-01-25,,,Target Hit
27,2024-01-25,,09:16:00,70919.47,,,,,2024-01-25,,15:15:00,70645.82,-200.0,,,180.95000000000005,-200.04999999999995,Exit Condition Met For Trade
27.2,2024-01-25,Thursday,09:24:00,76.45,10,PE,70300.0,Buy,2024-01-25,Thursday,09:28:00,56.45,-200.0,-26.160889470241987,2024-01-25,,,Stop Loss Hit
28,2024-01-29,,09:16:00,71102.14,,,,,2024-01-29,,15:15:00,71929.92,250.0,,,250.0,-26.549999999999955,Exit Condition Met For Trade
28.1,2024-01-29,Monday,09:18:00,81.05,10,CE,73500.0,Buy,2024-01-29,Monday,09:26:00,106.05,250.0,30.845157310302284,2024-02-02,,,Target Hit
29,2024-01-31,,09:16:00,70965.92,,,,,2024-01-31,,15:15:00,71765.74,-200.0,,,74.45000000000005,-200.04999999999995,Exit Condition Met For Trade
29.1,2024-01-31,Wednesday,11:10:00,61.7,10,CE,74100.0,Buy,2024-01-31,Wednesday,11:45:00,41.7,-200.0,-32.414910858995135,2024-02-02,,,Stop Loss Hit
30,2024-02-01,,09:16:00,71797.71,,,,,2024-02-01,,15:15:00,71619.17,-200.0,,,0,-200.04999999999995,Exit Condition Met For Trade
30.2,2024-02-01,Thursday,09:27:00,76.65,10,PE,69700.0,Buy,2024-02-01,Thursday,09:38:00,56.65,-200.00000000000006,-26.092628832354865,2024-02-02,,,Stop Loss Hit
31,2024-02-02,,09:16:00,72159.81,,,,,2024-02-02,,15:15:00,72076.5,345.5,,,345.5,-0.05,Exit Condition Met For Trade
31.1,2024-02-02,Friday,09:20:00,67.5,10,CE,72700.0,Buy,2024-02-02,Friday,09:21:00,102.05,345.5,51.185185185185176,2024-02-02,,,Target Hit
32,2024-02-05,,09:16:00,72043.64,,,,,2024-02-05,,09:36:00,72096.14,-237.5,,,148.45000000000005,-237.54999999999995,Square Off All Legs due to Stop Loss
32.1,2024-02-05,Monday,09:26:00,75.0,10,CE,74500.0,Buy,2024-02-05,Monday,09:36:00,71.25,-37.5,-5.0,2024-02-09,,,Square Off All Legs due to Stop Loss
32.2,2024-02-05,Monday,09:20:00,99.5,10,PE,69500.0,Buy,2024-02-05,Monday,09:36:00,79.5,-200.0,-20.100502512562816,2024-02-09,,,Stop Loss Hit
33,2024-02-08,,09:16:00,72314.73,,,,,2024-02-08,,15:15:00,71412.36,250.0,,,250.0,-16.549999999999955,Exit Condition Met For Trade
33.2,2024-02-08,Thursday,10:58:00,77.6,10,PE,71000.0,Buy,2024-02-08,Thursday,11:03:00,102.6,250.0,32.21649484536083,2024-02-09,,,Target Hit
34,2024-02-09,,09:16:00,71306.12,,,,,2024-02-09,,15:15:00,71597.45,585.0,,,585.0,-0.05,Exit Condition Met For Trade
34.1,2024-02-09,Friday,09:22:00,65.3,10,CE,72000.0,Buy,2024-02-09,Friday,09:23:00,123.8,585.0,89.58652373660031,2024-02-09,,,Target Hit
35,2024-02-12,,09:16:00,71645.22,,,,,2024-02-12,,15:15:00,71022.03,250.0,,,250.0,-0.05,Exit Condition Met For Trade
35.2,2024-02-12,Monday,12:57:00,74.2,10,PE,69200.0,Buy,2024-02-12,Monday,13:02:00,99.2,250.0,33.692722371967655,2024-02-16,,,Target Hit
36,2024-02-14,,09:16:00,70927.37,,,,,2024-02-14,,15:15:00,71741.67,250.0,,,250.0,-8.549999999999955,Exit Condition Met For Trade
36.1,2024-02-14,Wednesday,14:33:00,69.9,10,CE,72700.0,Buy,2024-02-14,Wednesday,14:59:00,94.9,250.0,35.7653791130186,2024-02-16,,,Target Hit
37,2024-02-16,,09:16:00,72337.03,,,,,2024-02-16,,09:31:00,72302.96,-253.5,,,16.950000000000045,-253.54999999999995,Square Off All Legs due to Stop Loss
37.1,2024-02-16,Friday,09:30:00,67.9,10,CE,73000.0,Buy,2024-02-16,Friday,09:31:00,47.9,-200.00000000000006,-29.455081001472763,2024-02-16,,,Stop Loss Hit
37.2,2024-02-16,Friday,09:21:00,69.45,10,PE,71600.0,Buy,2024-02-16,Friday,09:31:00,64.1,-53.500000000000085,-7.7033837293016685,2024-02-16,,,Square Off All Legs due to Stop Loss
38,2024-02-20,,09:16:00,72594.77,,,,,2024-02-20,,15:15:00,73086.52,-200.0,,,90.95000000000005,-200.04999999999995,Exit Condition Met For Trade
38.1,2024-02-20,Tuesday,12:03:00,78.9,10,CE,74200.0,Buy,2024-02-20,Tuesday,14:02:00,58.9,-200.00000000000006,-25.348542458808627,2024-02-23,,,Stop Loss Hit
39,2024-02-22,,09:16:00,72597.07,,,,,2024-02-22,,15:15:00,73137.9,250.0,,,250.0,-85.04999999999995,Exit Condition Met For Trade
39.2,2024-02-22,Thursday,10:01:00,75.7,10,PE,71400.0,Buy,2024-02-22,Thursday,10:06:00,100.7,250.0,33.02509907529723,2024-02-23,,,Target Hit
40,2024-02-23,,09:16:00,73256.14,,,,,2024-02-23,,15:15:00,73133.93,-200.0,,,0,-200.04999999999995,Exit Condition Met For Trade
40.2,2024-02-23,Friday,09:28:00,75.75,10,PE,72700.0,Buy,2024-02-23,Friday,09:29:00,55.75,-200.0,-26.402640264026402,2024-02-23,,,Stop Loss Hit
