Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
53,2024-03-11,,09:16:00,74070.94,,,,,2024-03-11,,09:51:00,73997.75,-326.5,,,63.450000000000045,-326.54999999999995,Square Off All Legs due to Stop Loss
53.1,2024-03-11,Monday,09:17:00,94.05,10,CE,75300.0,Buy,2024-03-11,Monday,09:51:00,74.05,-200.0,-21.26528442317916,2024-03-15,,,Stop Loss Hit
53.2,2024-03-11,Monday,09:17:00,61.3,10,PE,72000.0,Buy,2024-03-11,Monday,09:51:00,48.65,-126.49999999999999,-20.63621533442088,2024-03-15,,,Square Off All Legs due to Stop Loss
54,2024-03-12,,09:16:00,73533.44,,,,,2024-03-12,,15:15:00,73660.81,-200.0,,,250.45000000000005,-200.04999999999995,Exit Condition Met For Trade
54.1,2024-03-12,Tuesday,09:18:00,62.4,10,CE,75100.0,Buy,2024-03-12,Tuesday,10:47:00,42.4,-200.0,-32.05128205128205,2024-03-15,,,Stop Loss Hit
55,2024-03-13,,09:16:00,73944.93,,,,,2024-03-13,,15:15:00,72684.16,750.0,,,750.0,-78.04999999999995,Exit Condition Met For Trade
55.2,2024-03-13,Wednesday,09:33:00,65.25,10,PE,72400.0,Buy,2024-03-13,Wednesday,11:49:00,140.25,750.0,114.94252873563218,2024-03-15,,,Target Hit
56,2024-03-14,,09:16:00,72678.48,,,,,2024-03-14,,15:15:00,73078.32,-200.0,,,8.450000000000045,-200.04999999999995,Exit Condition Met For Trade
56.1,2024-03-14,Thursday,09:27:00,61.9,10,CE,73900.0,Buy,2024-03-14,Thursday,09:54:00,41.9,-200.0,-32.31017770597738,2024-03-15,,,Stop Loss Hit
57,2024-03-15,,09:16:00,72860.45,,,,,2024-03-15,,09:37:00,72764.8,-232.5,,,150.45000000000005,-232.54999999999995,Square Off All Legs due to Stop Loss
57.1,2024-03-15,Friday,09:17:00,57.05,10,CE,73400.0,Buy,2024-03-15,Friday,09:37:00,37.05,-200.0,-35.056967572305,2024-03-15,,,Stop Loss Hit
