"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"56.1","2024-03-15"," 09:17:00","2024-03-15"," 09:37:00","CE","73400","Buy","10","57.05","37.05","","-200.00"
"56.2","2024-03-15"," 09:36:00","2024-03-15"," 09:37:00","PE","72300","Buy","10","59.40","56.15","","-32.50"
"57","2024-03-18"," 09:16:00","2024-03-18"," 15:15:00","","","","","","","14.46","-200.00"
"57.1","2024-03-18"," 09:26:00","2024-03-18"," 09:27:00","CE","74700","Buy","10","65.55","45.55","","-200.00"
"58","2024-03-19"," 09:16:00","2024-03-19"," 09:59:00","","","","","","","14.01","-253.50"
"58.1","2024-03-19"," 09:19:00","2024-03-19"," 09:59:00","CE","74100","Buy","10","64.05","44.05","","-200.00"
"58.2","2024-03-19"," 09:23:00","2024-03-19"," 09:59:00","PE","70800","Buy","10","61.40","56.05","","-53.50"
"59","2024-03-20"," 09:16:00","2024-03-20"," 15:15:00","","","","","","","13.94","-200.00"
"59.1","2024-03-20"," 10:03:00","2024-03-20"," 11:46:00","PE","70900","Buy","10","64.55","44.55","","-200.00"
"60","2024-03-21"," 09:16:00","2024-03-21"," 15:15:00","","","","","","","13.15","-200.00"
"60.1","2024-03-21"," 12:11:00","2024-03-21"," 12:20:00","PE","71800","Buy","10","62.80","42.80","","-200.00"
"61","2024-03-22"," 09:16:00","2024-03-22"," 15:15:00","","","","","","","12.71","750.00"
"61.1","2024-03-22"," 09:26:00","2024-03-22"," 09:31:00","PE","72000","Buy","10","66.50","141.50","","750.00"
"62","2024-03-26"," 09:16:00","2024-03-26"," 15:15:00","","","","","","","12.92","-200.00"
"62.1","2024-03-26"," 09:17:00","2024-03-26"," 10:30:00","PE","71300","Buy","10","64.00","44.00","","-200.00"
"63","2024-03-27"," 09:16:00","2024-03-27"," 15:15:00","","","","","","","12.77","-200.00"
"63.1","2024-03-27"," 10:03:00","2024-03-27"," 11:36:00","CE","73600","Buy","10","60.45","40.45","","-200.00"
"64","2024-03-28"," 09:16:00","2024-03-28"," 15:15:00","","","","","","","12.76","750.00"
"64.1","2024-03-28"," 09:21:00","2024-03-28"," 09:49:00","CE","73500","Buy","10","66.90","141.90","","750.00"
"65","2024-04-01"," 09:16:00","2024-04-01"," 15:15:00","","","","","","","13.16","-200.00"
"65.1","2024-04-01"," 09:18:00","2024-04-01"," 09:19:00","PE","72000","Buy","10","75.00","55.00","","-200.00"
"66","2024-04-02"," 09:16:00","2024-04-02"," 15:15:00","","","","","","","12.23","-200.00"
"66.1","2024-04-02"," 09:33:00","2024-04-02"," 10:26:00","CE","75300","Buy","10","61.00","41.00","","-200.00"
"67","2024-04-03"," 09:16:00","2024-04-03"," 15:15:00","","","","","","","11.79","-200.00"
"67.1","2024-04-03"," 10:14:00","2024-04-03"," 10:50:00","CE","74800","Buy","10","66.60","46.60","","-200.00"
"68","2024-04-04"," 09:16:00","2024-04-04"," 15:15:00","","","","","","","11.18","750.00"
"68.1","2024-04-04"," 09:23:00","2024-04-04"," 09:54:00","PE","73400","Buy","10","54.70","129.70","","750.00"
"69","2024-04-05"," 09:16:00","2024-04-05"," 15:15:00","","","","","","","11.43","-200.00"
"69.1","2024-04-05"," 09:26:00","2024-04-05"," 09:39:00","CE","74700","Buy","10","60.80","40.80","","-200.00"
"70","2024-04-08"," 09:16:00","2024-04-08"," 15:15:00","","","","","","","11.49","-200.00"
"70.1","2024-04-08"," 09:17:00","2024-04-08"," 09:39:00","PE","72400","Buy","10","52.55","32.55","","-200.00"
"71","2024-04-12"," 09:16:00","2024-04-12"," 15:15:00","","","","","","","11.40","-200.00"
"71.1","2024-04-12"," 09:28:00","2024-04-12"," 09:36:00","CE","75200","Buy","10","63.70","43.70","","-200.00"
"72","2024-04-15"," 09:16:00","2024-04-15"," 15:15:00","","","","","","","12.37","750.00"
"72.1","2024-04-15"," 09:17:00","2024-04-15"," 09:18:00","PE","72300","Buy","10","101.95","176.95","","750.00"
"73","2024-04-16"," 09:16:00","2024-04-16"," 15:15:00","","","","","","","12.86","-200.00"
"73.1","2024-04-16"," 09:19:00","2024-04-16"," 10:23:00","CE","74300","Buy","10","62.55","42.55","","-200.00"
"74","2024-04-18"," 09:16:00","2024-04-18"," 15:15:00","","","","","","","12.57","-200.00"
"74.1","2024-04-18"," 09:40:00","2024-04-18"," 11:06:00","PE","72200","Buy","10","56.20","36.20","","-200.00"
"75","2024-04-19"," 09:16:00","2024-04-19"," 09:35:00","","","","","","","14.20","226.50"
"75.1","2024-04-19"," 09:22:00","2024-04-19"," 09:35:00","CE","72600","Buy","10","61.25","103.90","","426.50"
"75.2","2024-04-19"," 09:22:00","2024-04-19"," 09:35:00","PE","70900","Buy","10","63.75","43.75","","-200.00"
"76","2024-04-22"," 09:16:00","2024-04-22"," 15:15:00","","","","","","","13.08","-200.50"
"76.1","2024-04-22"," 09:17:00","2024-04-22"," 13:26:00","CE","75500","Buy","10","43.75","23.70","","-200.50"
"77","2024-04-25"," 09:16:00","2024-04-25"," 15:15:00","","","","","","","10.52","750.00"
"77.1","2024-04-25"," 09:35:00","2024-04-25"," 10:14:00","CE","74400","Buy","10","59.60","134.60","","750.00"
"78","2024-04-26"," 09:16:00","2024-04-26"," 09:52:00","","","","","","","10.99","73.50"
"78.1","2024-04-26"," 09:29:00","2024-04-26"," 09:52:00","CE","74900","Buy","10","57.20","37.20","","-200.00"
"78.2","2024-04-26"," 09:21:00","2024-04-26"," 09:52:00","PE","73900","Buy","10","67.60","94.95","","273.50"
"79","2024-04-29"," 09:16:00","2024-04-29"," 09:18:00","","","","","","","12.19","-361.50"
"79.1","2024-04-29"," 09:17:00","2024-04-29"," 09:18:00","CE","75900","Buy","10","58.60","44.20","","-144.00"
"79.2","2024-04-29"," 09:17:00","2024-04-29"," 09:18:00","PE","72500","Buy","10","76.80","55.05","","-217.50"
"80","2024-04-30"," 09:16:00","2024-04-30"," 15:15:00","","","","","","","12.53","-200.00"
"80.1","2024-04-30"," 09:37:00","2024-04-30"," 15:01:00","CE","75900","Buy","10","66.90","46.90","","-200.00"
"81","2024-05-02"," 09:16:00","2024-05-02"," 15:15:00","","","","","","","13.87","-200.00"
"81.1","2024-05-02"," 09:32:00","2024-05-02"," 11:19:00","CE","75500","Buy","10","60.55","40.55","","-200.00"
"82","2024-05-03"," 09:16:00","2024-05-03"," 10:06:00","","","","","","","13.80","762.00"
"82.1","2024-05-03"," 09:17:00","2024-05-03"," 10:06:00","CE","75400","Buy","10","68.30","48.30","","-200.00"
"82.2","2024-05-03"," 09:34:00","2024-05-03"," 10:06:00","PE","74400","Buy","10","59.40","155.60","","962.00"
"83","2024-05-07"," 09:16:00","2024-05-07"," 15:15:00","","","","","","","16.91","750.00"
"83.1","2024-05-07"," 09:58:00","2024-05-07"," 11:38:00","PE","72300","Buy","10","63.40","138.40","","750.00"
"84","2024-05-08"," 09:16:00","2024-05-08"," 15:15:00","","","","","","","17.37","-200.00"
"84.1","2024-05-08"," 09:27:00","2024-05-08"," 10:01:00","CE","74800","Buy","10","68.00","48.00","","-200.00"
"85","2024-05-09"," 09:16:00","2024-05-09"," 15:15:00","","","","","","","17.41","750.00"
"85.1","2024-05-09"," 09:23:00","2024-05-09"," 10:22:00","PE","72500","Buy","10","58.75","133.75","","750.00"
"86","2024-05-10"," 09:16:00","2024-05-10"," 15:15:00","","","","","","","18.20","-200.00"
"86.1","2024-05-10"," 09:53:00","2024-05-10"," 10:46:00","CE","73300","Buy","10","57.10","37.10","","-200.00"
