,Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
29,12.1,2024-01-01,14:51:00,2024-01-01,15:15:00,CE,74000.0,Buy,10.0,73.7,35.25,,-384.5,14.5025,14.8675,14.3275,14.68,14.5025,0.18,1.22
36,16.0,2024-01-08,9:16:00,2024-01-08,15:15:00,,,,,,,13.12,760.0,12.63,13.595,12.63,13.4625,12.63,0.83,6.59
37,16.1,2024-01-08,9:17:00,2024-01-08,15:15:00,PE,70700.0,Buy,10.0,95.0,171.0,,760.0,12.63,13.595,12.63,13.4625,12.63,0.83,6.59
45,20.0,2024-01-12,9:16:00,2024-01-12,14:40:00,,,,,,,12.76,2822.0,12.7675,13.285,12.42,13.1,12.7675,0.33,2.6
46,20.1,2024-01-12,10:04:00,2024-01-12,14:40:00,CE,72200.0,Buy,10.0,88.0,438.0,,3500.0,12.7675,13.285,12.42,13.1,12.7675,0.33,2.6
47,20.2,2024-01-12,9:28:00,2024-01-12,14:40:00,PE,71800.0,Buy,10.0,71.2,3.4,,-678.0,12.7675,13.285,12.42,13.1,12.7675,0.33,2.6
48,21.0,2024-01-17,9:16:00,2024-01-17,15:15:00,,,,,,,13.68,386.0,13.5725,15.23,12.715,15.08,13.5725,1.51,11.11
49,21.1,2024-01-17,9:17:00,2024-01-17,15:15:00,CE,73500.0,Buy,10.0,60.0,28.25,,-317.5,13.5725,15.23,12.715,15.08,13.5725,1.51,11.11
50,21.2,2024-01-17,9:17:00,2024-01-17,15:15:00,PE,70800.0,Buy,10.0,85.7,156.05,,703.5,13.5725,15.23,12.715,15.08,13.5725,1.51,11.11
56,24.0,2024-01-23,9:16:00,2024-01-23,15:15:00,,,,,,,13.09,3500.0,13.8025,15.405,12.195,14.8525,13.8025,1.05,7.61
57,24.1,2024-01-23,9:59:00,2024-01-23,12:04:00,PE,70900.0,Buy,10.0,78.75,428.75,,3500.0,13.8025,15.405,12.195,14.8525,13.8025,1.05,7.61
62,27.0,2024-01-29,9:16:00,2024-01-29,15:15:00,,,,,,,14.84,1207.0,13.865,15.8475,13.795,15.68,13.865,1.81,13.09
