open,high,low,close,adj close,volume,year,month,hour,day,day_name,candle_body,high_shadow,low_shadow,trend
71958.171875,71992.375,71655.78125,71848.1796875,71848.1796875,0,2024,3,10,12,Tuesday,109.9921875,34.203125,-192.3984375,UP
71852.6484375,72323.5234375,71852.6484375,72071.8203125,72071.8203125,0,2024,3,11,12,Tuesday,-219.171875,470.875,-219.171875,DOWN
72058.375,72226.921875,71659.359375,72226.921875,72226.921875,0,2024,3,12,12,Tuesday,-168.546875,168.546875,-567.5625,DOWN
72203.40625,72305.0078125,71737.5859375,72250.25,72250.25,0,2024,3,13,12,Tuesday,-46.84375,101.6015625,-512.6640625,DOWN
72286.515625,72825.65625,71726.4375,71739.734375,71739.734375,1324093440,2024,3,14,12,Tuesday,546.78125,539.140625,-13.296875,UP
71666.8984375,72064.125,71150.765625,71673.359375,71673.359375,0,2024,3,15,12,Tuesday,-6.4609375,397.2265625,-522.59375,DOWN
71709.4765625,71801.90625,70126.5625,70525.9453125,70525.9453125,1426710528,2024,3,16,12,Tuesday,1183.53125,92.4296875,-399.3828125,UP
70503.9765625,70747.34375,68919.1015625,70710.953125,70710.953125,5244751872,2024,3,17,12,Tuesday,-206.9765625,243.3671875,-1791.8515625,DOWN
71087.5,71458.375,70634.8125,71385.1484375,71385.1484375,2479738880,2024,3,18,12,Tuesday,-297.6484375,370.875,-750.3359375,DOWN
71393.09375,71640.1875,71240.7734375,71372.1328125,71372.1328125,178642944,2024,3,19,12,Tuesday,20.9609375,247.09375,-131.359375,UP
71393.859375,71393.859375,70701.4140625,71027.8828125,71027.8828125,496676864,2024,3,20,12,Tuesday,365.9765625,0.0,-326.46875,UP
71053.0859375,71132.328125,70704.15625,70978.7578125,70978.7578125,232869888,2024,3,21,12,Tuesday,74.328125,79.2421875,-274.6015625,UP
70799.875,71266.265625,70744.109375,71182.1640625,71182.1640625,0,2024,3,22,12,Tuesday,-382.2890625,466.390625,-438.0546875,DOWN
71172.0703125,71511.40625,71060.421875,71455.53125,71455.53125,101953536,2024,3,23,12,Tuesday,-283.4609375,339.3359375,-395.109375,DOWN
71471.5234375,71694.859375,71358.9765625,71466.703125,71466.703125,0,2024,3,0,13,Wednesday,4.8203125,223.3359375,-107.7265625,UP
71424.6640625,72075.453125,71388.984375,72023.0546875,72023.0546875,600784896,2024,3,1,13,Wednesday,-598.390625,650.7890625,-634.0703125,DOWN
72019.015625,72034.9140625,71891.4375,71993.625,71993.625,97054720,2024,3,2,13,Wednesday,25.390625,15.8984375,-102.1875,UP
71999.7421875,72196.46875,71913.0390625,72053.1640625,72053.1640625,0,2024,3,3,13,Wednesday,-53.421875,196.7265625,-140.125,DOWN
72057.0234375,72208.0234375,71944.265625,72189.6484375,72189.6484375,0,2024,3,4,13,Wednesday,-132.625,151.0,-245.3828125,DOWN
72205.015625,72215.1953125,72044.8671875,72194.90625,72194.90625,0,2024,3,5,13,Wednesday,10.109375,10.1796875,-150.0390625,UP
72186.25,72700.4609375,72127.8203125,72672.4453125,72672.4453125,171945984,2024,3,6,13,Wednesday,-486.1953125,514.2109375,-544.625,DOWN
72701.3515625,73105.5234375,72676.1875,72857.640625,72857.640625,1285197824,2024,3,7,13,Wednesday,-156.2890625,404.171875,-181.453125,DOWN
72889.5390625,73635.171875,72889.5390625,73454.90625,73454.90625,787582976,2024,3,8,13,Wednesday,-565.3671875,745.6328125,-565.3671875,DOWN
73474.96875,73634.4375,73193.5546875,73305.5,73305.5,461869056,2024,3,9,13,Wednesday,169.46875,159.46875,-111.9453125,UP
73323.9140625,73417.09375,73170.828125,73279.40625,73279.40625,343248896,2024,3,10,13,Wednesday,44.5078125,93.1796875,-108.578125,UP
73284.453125,73475.4453125,73120.953125,73142.53125,73142.53125,0,2024,3,11,13,Wednesday,141.921875,190.9921875,-21.578125,UP
73106.7109375,73216.5390625,72552.265625,72944.4609375,72944.4609375,0,2024,3,12,13,Wednesday,162.25,109.828125,-392.1953125,UP
