Index,Entry Date,Entry Time,Exit Date,Exit Time,Type,Strike,B/S,Qty,Entry Price,Exit Price,Vix,P/L,Open,High,Low,Close,Prev. Close,Change,% Change
14.0,2024-01-04,9:16:00,2024-01-04,15:15:00,,,,,,,14.04,-213.0,14.0975,14.2075,13.2125,13.33,14.0975,-0.77,-5.44
14.1,2024-01-04,9:30:00,2024-01-04,15:15:00,CE,72200.0,Buy,10.0,69.45,48.15,,-213.0,14.0975,14.2075,13.2125,13.33,14.0975,-0.77,-5.44
15.0,2024-01-05,9:16:00,2024-01-05,15:15:00,,,,,,,13.31,-682.0,13.33,13.4675,12.4875,12.63,13.33,-0.7,-5.25
15.1,2024-01-05,10:44:00,2024-01-05,15:15:00,PE,71900.0,Buy,10.0,68.6,0.4,,-682.0,13.33,13.4675,12.4875,12.63,13.33,-0.7,-5.25
16.0,2024-01-08,9:16:00,2024-01-08,15:15:00,,,,,,,13.12,760.0,12.63,13.595,12.63,13.4625,12.63,0.83,6.59
16.1,2024-01-08,9:17:00,2024-01-08,15:15:00,PE,70700.0,Buy,10.0,95.0,171.0,,760.0,12.63,13.595,12.63,13.4625,12.63,0.83,6.59
17.0,2024-01-09,9:16:00,2024-01-09,15:15:00,,,,,,,12.92,670.5,13.4625,13.505,12.775,13.2625,13.4625,-0.2,-1.49
17.1,2024-01-09,9:37:00,2024-01-09,15:15:00,PE,70800.0,Buy,10.0,76.65,143.7,,670.5,13.4625,13.505,12.775,13.2625,13.4625,-0.2,-1.49
18.0,2024-01-10,9:16:00,2024-01-10,15:15:00,,,,,,,13.44,-845.0,13.2625,14.5575,12.81,12.97,13.2625,-0.29,-2.21
18.1,2024-01-10,15:05:00,2024-01-10,15:15:00,CE,72400.0,Buy,10.0,77.4,54.5,,-229.0,13.2625,14.5575,12.81,12.97,13.2625,-0.29,-2.21
18.2,2024-01-10,9:31:00,2024-01-10,15:15:00,PE,69900.0,Buy,10.0,73.7,12.1,,-616.0,13.2625,14.5575,12.81,12.97,13.2625,-0.29,-2.21
19.0,2024-01-11,9:16:00,2024-01-11,15:15:00,,,,,,,12.9,-281.0,12.97,13.19,12.63,12.7675,12.97,-0.2,-1.56
19.1,2024-01-11,9:43:00,2024-01-11,15:15:00,PE,71300.0,Buy,10.0,71.4,43.3,,-281.0,12.97,13.19,12.63,12.7675,12.97,-0.2,-1.56
20.0,2024-01-12,9:16:00,2024-01-12,14:40:00,,,,,,,12.76,2822.0,12.7675,13.285,12.42,13.1,12.7675,0.33,2.6
20.1,2024-01-12,10:04:00,2024-01-12,14:40:00,CE,72200.0,Buy,10.0,88.0,438.0,,3500.0,12.7675,13.285,12.42,13.1,12.7675,0.33,2.6
20.2,2024-01-12,9:28:00,2024-01-12,14:40:00,PE,71800.0,Buy,10.0,71.2,3.4,,-678.0,12.7675,13.285,12.42,13.1,12.7675,0.33,2.6
21.0,2024-01-17,9:16:00,2024-01-17,15:15:00,,,,,,,13.68,386.0,13.5725,15.23,12.715,15.08,13.5725,1.51,11.11
21.1,2024-01-17,9:17:00,2024-01-17,15:15:00,CE,73500.0,Buy,10.0,60.0,28.25,,-317.5,13.5725,15.23,12.715,15.08,13.5725,1.51,11.11
21.2,2024-01-17,9:17:00,2024-01-17,15:15:00,PE,70800.0,Buy,10.0,85.7,156.05,,703.5,13.5725,15.23,12.715,15.08,13.5725,1.51,11.11
22.0,2024-01-18,9:16:00,2024-01-18,15:15:00,,,,,,,15.22,-1129.0,15.08,15.705,12.98,14.07,15.08,-1.01,-6.7
22.1,2024-01-18,10:11:00,2024-01-18,15:15:00,CE,72100.0,Buy,10.0,76.3,26.7,,-496.0,15.08,15.705,12.98,14.07,15.08,-1.01,-6.7
22.2,2024-01-18,9:37:00,2024-01-18,15:15:00,PE,69900.0,Buy,10.0,81.15,17.85,,-633.0,15.08,15.705,12.98,14.07,15.08,-1.01,-6.7
23.0,2024-01-19,9:16:00,2024-01-19,15:15:00,,,,,,,13.83,-750.0,14.07,14.1125,13.6775,13.8775,14.07,-0.19,-1.37
23.1,2024-01-19,9:33:00,2024-01-19,14:51:00,PE,71500.0,Buy,10.0,78.2,3.2,,-750.0,14.07,14.1125,13.6775,13.8775,14.07,-0.19,-1.37
24.0,2024-01-23,9:16:00,2024-01-23,15:15:00,,,,,,,13.09,3500.0,13.8025,15.405,12.195,14.8525,13.8025,1.05,7.61
24.1,2024-01-23,9:59:00,2024-01-23,12:04:00,PE,70900.0,Buy,10.0,78.75,428.75,,3500.0,13.8025,15.405,12.195,14.8525,13.8025,1.05,7.61
25.0,2024-01-24,9:16:00,2024-01-24,15:15:00,,,,,,,15.34,1801.0,14.8525,15.6475,14.03,14.375,14.8525,-0.48,-3.21
25.1,2024-01-24,9:22:00,2024-01-24,15:15:00,CE,71200.0,Buy,10.0,73.5,253.6,,1801.0,14.8525,15.6475,14.03,14.375,14.8525,-0.48,-3.21
26.0,2024-01-25,9:16:00,2024-01-25,15:15:00,,,,,,,14.52,-750.0,14.375,15.3375,13.36,13.865,14.375,-0.51,-3.55
26.1,2024-01-25,9:24:00,2024-01-25,15:05:00,PE,70300.0,Buy,10.0,76.45,1.45,,-750.0,14.375,15.3375,13.36,13.865,14.375,-0.51,-3.55
27.0,2024-01-29,9:16:00,2024-01-29,15:15:00,,,,,,,14.84,1207.0,13.865,15.8475,13.795,15.68,13.865,1.81,13.09
27.1,2024-01-29,9:18:00,2024-01-29,15:15:00,CE,73500.0,Buy,10.0,81.05,201.75,,1207.0,13.865,15.8475,13.795,15.68,13.865,1.81,13.09
28.0,2024-01-31,9:16:00,2024-01-31,15:15:00,,,,,,,16.5,142.0,16.1025,16.5325,15.8,16.0475,16.1025,-0.05,-0.34
