,high,low,open,close,year,month,day,hour,day_name,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend,7_EMA,15_EMA,50_EMA,200_EMA
2023-08-12,29434.900390625,29357.587890625,29399.787109375,29374.771484375,2023,8,12,0,Saturday,29434.900390625,29357.587890625,77.3125,25.015625,35.11328125,-17.18359375,-42.19921875,35.11328125,DOWN,29390.221149376684,29416.339497266592,29356.337446234244,29442.76431974307
2023-08-12,29398.8125,29362.853515625,29373.99609375,29396.6328125,2023,8,12,4,Saturday,29398.8125,29362.853515625,35.958984375,-22.63671875,2.1796875,-11.142578125,-11.142578125,24.81640625,UP,29391.824065157514,29413.876161670767,29357.91765667604,29442.3052997705
2023-08-12,29413.396484375,29371.17578125,29395.056640625,29406.779296875,2023,8,12,8,Saturday,29413.396484375,29371.17578125,42.220703125,-11.72265625,6.6171875,-23.880859375,-23.880859375,18.33984375,UP,29395.562873086885,29412.989053571295,29359.83379942894,29441.95180720438
2023-08-12,29438.087890625,29394.421875,29406.8359375,29423.8203125,2023,8,12,12,Saturday,29438.087890625,29394.421875,43.666015625,-16.984375,14.267578125,-12.4140625,-12.4140625,31.251953125,UP,29402.62723294016,29414.34296093738,29362.343074451335,29441.77139432175
2023-08-12,29465.11328125,29399.60546875,29425.85546875,29404.3828125,2023,8,12,16,Saturday,29465.11328125,29399.60546875,65.5078125,21.47265625,39.2578125,-4.77734375,-26.25,39.2578125,DOWN,29403.06612783012,29413.09794238271,29363.991691629715,29441.39936863198
2023-08-12,29417.544921875,29391.58203125,29405.107421875,29415.962890625,2023,8,12,20,Saturday,29417.544921875,29391.58203125,25.962890625,-10.85546875,1.58203125,-13.525390625,-13.525390625,12.4375,UP,29406.290318528838,29413.456060912995,29366.029777864827,29441.14626934833
2023-08-13,29441.43359375,29393.21484375,29416.59375,29399.119140625,2023,8,13,0,Sunday,29441.43359375,29393.21484375,48.21875,17.474609375,24.83984375,-5.904296875,-23.37890625,24.83984375,DOWN,29404.49752405288,29411.663945876997,29367.327399933853,29440.728088963024
2023-08-13,29399.142578125,29363.916015625,29399.142578125,29383.09765625,2023,8,13,4,Sunday,29399.142578125,29363.916015625,35.2265625,16.044921875,0.0,-19.181640625,-35.2265625,0.0,DOWN,29399.14755710216,29408.093159673623,29367.945841358014,29440.154651821602
2023-08-13,29394.275390625,29364.224609375,29382.048828125,29368.326171875,2023,8,13,8,Sunday,29394.275390625,29364.224609375,30.05078125,13.72265625,12.2265625,-4.1015625,-17.82421875,12.2265625,DOWN,29391.44221079537,29403.122286198795,29367.96075628025,29439.439940578355
2023-08-13,29374.697265625,29345.2265625,29368.78125,29357.03515625,2023,8,13,12,Sunday,29374.697265625,29345.2265625,29.470703125,11.74609375,5.916015625,-11.80859375,-23.5546875,5.916015625,DOWN,29382.840447159026,29397.361394955195,29367.5323013771,29438.61999247559
2023-08-13,29440.998046875,29318.705078125,29355.375,29421.115234375,2023,8,13,16,Sunday,29440.998046875,29318.705078125,122.29296875,-65.740234375,19.8828125,-36.669921875,-36.669921875,85.623046875,UP,29392.40914396302,29400.33062488267,29369.633592867216,29438.445815778072
2023-08-13,29431.779296875,29265.806640625,29429.224609375,29282.513671875,2023,8,13,20,Sunday,29431.779296875,29265.806640625,165.97265625,146.7109375,2.5546875,-16.70703125,-163.41796875,2.5546875,DOWN,29364.935275941018,29385.603505756713,29366.217125377327,29436.894252157148
2023-08-14,29382.765625,29124.10546875,29283.263671875,29349.56640625,2023,8,14,0,Monday,29382.765625,29124.10546875,258.66015625,-66.302734375,33.19921875,-159.158203125,-159.158203125,99.501953125,UP,29361.093058518265,29381.098868318375,29365.564155999786,29436.02531836703
2023-08-14,29420.212890625,29361.8984375,29362.1640625,29385.5078125,2023,8,14,4,Monday,29420.212890625,29361.8984375,58.314453125,-23.34375,34.705078125,-0.265625,-0.265625,58.048828125,UP,29367.1967470137,29381.64998634108,29366.346260176266,29435.522656617108
2023-08-14,29436.09765625,29352.80859375,29383.263671875,29370.228515625,2023,8,14,8,Monday,29436.09765625,29352.80859375,83.2890625,13.03515625,52.833984375,-17.419921875,-30.455078125,52.833984375,DOWN,29367.954689166523,29380.22230250157,29366.498505487983,29434.872963671914
2023-08-14,29618.40234375,29301.9765625,29371.37109375,29567.455078125,2023,8,14,12,Monday,29618.40234375,29301.9765625,316.42578125,-196.083984375,50.947265625,-69.39453125,-69.39453125,247.03125,UP,29417.829786406142,29403.6263994545,29374.37915539532,29436.19218869135
