date,open,high,low,close,adj close,volume,year,month,day,day_name,minute,hour,max,min,difference,candle_body,high_shadow,low_shadow,low-open,high-open,trend
2024-02-22,51854.64453125,52009.61328125,50926.29296875,51304.97265625,51304.97265625,25413900611,2024,2,22,Thursday,0,0,52009.61328125,50926.29296875,1083.3203125,549.671875,154.96875,-378.6796875,-928.3515625,154.96875,UP
2024-02-23,51283.90625,51497.93359375,50561.77734375,50731.94921875,50731.94921875,21427078270,2024,2,23,Friday,0,0,51497.93359375,50561.77734375,936.15625,551.95703125,214.02734375,-170.171875,-722.12890625,214.02734375,UP
2024-02-24,50736.37109375,51684.1953125,50585.4453125,51571.1015625,51571.1015625,15174077879,2024,2,24,Saturday,0,0,51684.1953125,50585.4453125,1098.75,-834.73046875,113.09375,-150.92578125,-150.92578125,947.82421875,DOWN
2024-02-25,51565.21484375,51950.02734375,51306.171875,51733.23828125,51733.23828125,15413239245,2024,2,25,Sunday,0,0,51950.02734375,51306.171875,643.85546875,-168.0234375,216.7890625,-259.04296875,-259.04296875,384.8125,DOWN
2024-02-26,51730.5390625,54938.17578125,50931.03125,54522.40234375,54522.40234375,34074411896,2024,2,26,Monday,0,0,54938.17578125,50931.03125,4007.14453125,-2791.86328125,415.7734375,-799.5078125,-799.5078125,3207.63671875,DOWN
2024-02-27,54519.36328125,57537.83984375,54484.19921875,57085.37109375,57085.37109375,49756832031,2024,2,27,Tuesday,0,0,57537.83984375,54484.19921875,3053.640625,-2566.0078125,452.46875,-35.1640625,-35.1640625,3018.4765625,DOWN
2024-02-28,57071.09765625,63913.1328125,56738.42578125,62504.7890625,62504.7890625,83239156760,2024,2,28,Wednesday,0,0,63913.1328125,56738.42578125,7174.70703125,-5433.69140625,1408.34375,-332.671875,-332.671875,6842.03515625,DOWN
2024-02-29,62499.18359375,63585.64453125,60498.73046875,61198.3828125,61198.3828125,65496611844,2024,2,29,Thursday,0,0,63585.64453125,60498.73046875,3086.9140625,1300.80078125,1086.4609375,-699.65234375,-2000.453125,1086.4609375,UP
2024-03-01,61168.0625,63155.1015625,60802.52734375,62440.6328125,62440.6328125,40186368423,2024,3,1,Friday,0,0,63155.1015625,60802.52734375,2352.57421875,-1272.5703125,714.46875,-365.53515625,-365.53515625,1987.0390625,DOWN
2024-03-02,62431.65234375,62458.69921875,61657.2890625,62029.84765625,62029.84765625,23888473685,2024,3,2,Saturday,0,0,62458.69921875,61657.2890625,801.41015625,401.8046875,27.046875,-372.55859375,-774.36328125,27.046875,UP
2024-03-03,62031.578125,63230.2109375,61435.0234375,63167.37109375,63167.37109375,26253811450,2024,3,3,Sunday,0,0,63230.2109375,61435.0234375,1795.1875,-1135.79296875,62.83984375,-596.5546875,-596.5546875,1198.6328125,DOWN
2024-03-04,63137.00390625,68537.03125,62386.51953125,68330.4140625,68330.4140625,70670471105,2024,3,4,Monday,0,0,68537.03125,62386.51953125,6150.51171875,-5193.41015625,206.6171875,-750.484375,-750.484375,5400.02734375,DOWN
2024-03-05,68341.0546875,69170.625,59323.91015625,63801.19921875,63801.19921875,102802940877,2024,3,5,Tuesday,0,0,69170.625,59323.91015625,9846.71484375,4539.85546875,829.5703125,-4477.2890625,-9017.14453125,829.5703125,UP
2024-03-06,63776.05078125,67637.9296875,62848.671875,66106.8046875,66106.8046875,68750229073,2024,3,6,Wednesday,0,0,67637.9296875,62848.671875,4789.2578125,-2330.75390625,1531.125,-927.37890625,-927.37890625,3861.87890625,DOWN
2024-03-07,66099.7421875,68029.921875,65655.53125,66925.484375,66925.484375,46989543159,2024,3,7,Thursday,0,0,68029.921875,65655.53125,2374.390625,-825.7421875,1104.4375,-444.2109375,-444.2109375,1930.1796875,DOWN
2024-03-08,66938.09375,70083.0546875,66230.453125,68300.09375,68300.09375,59202881172,2024,3,8,Friday,0,0,70083.0546875,66230.453125,3852.6015625,-1362.0,1782.9609375,-707.640625,-707.640625,3144.9609375,DOWN
2024-03-09,68299.2578125,68673.0546875,68053.125,68498.8828125,68498.8828125,21609650379,2024,3,9,Saturday,0,0,68673.0546875,68053.125,619.9296875,-199.625,174.171875,-246.1328125,-246.1328125,373.796875,DOWN
2024-03-10,68500.2578125,70005.203125,68239.9765625,69019.7890625,69019.7890625,35683977532,2024,3,10,Sunday,0,0,70005.203125,68239.9765625,1765.2265625,-519.53125,985.4140625,-260.28125,-260.28125,1504.9453125,DOWN
2024-03-11,69020.546875,72850.7109375,67194.8828125,72123.90625,72123.90625,65716656765,2024,3,11,Monday,0,0,72850.7109375,67194.8828125,5655.828125,-3103.359375,726.8046875,-1825.6640625,-1825.6640625,3830.1640625,DOWN
2024-03-12,72125.125,72825.65625,68728.8515625,71481.2890625,71481.2890625,62554434520,2024,3,12,Tuesday,0,0,72825.65625,68728.8515625,4096.8046875,643.8359375,700.53125,-2752.4375,-3396.2734375,700.53125,UP
2024-03-13,71482.1171875,73637.4765625,71334.09375,73083.5,73083.5,48212536929,2024,3,13,Wednesday,0,0,73637.4765625,71334.09375,2303.3828125,-1601.3828125,553.9765625,-148.0234375,-148.0234375,2155.359375,DOWN
2024-03-14,73079.375,73750.0703125,68563.0234375,71396.59375,71396.59375,59594605698,2024,3,14,Thursday,0,0,73750.0703125,68563.0234375,5187.046875,1682.78125,670.6953125,-2833.5703125,-4516.3515625,670.6953125,UP
2024-03-15,71387.875,72357.1328125,65630.6953125,69403.7734375,69403.7734375,78320453976,2024,3,15,Friday,0,0,72357.1328125,65630.6953125,6726.4375,1984.1015625,969.2578125,-3773.078125,-5757.1796875,969.2578125,UP
2024-03-16,69392.484375,70046.2734375,64801.39453125,65315.1171875,65315.1171875,46842198371,2024,3,16,Saturday,0,0,70046.2734375,64801.39453125,5244.87890625,4077.3671875,653.7890625,-513.72265625,-4591.08984375,653.7890625,UP
2024-03-17,65316.34375,68845.71875,64545.31640625,68390.625,68390.625,44716864318,2024,3,17,Sunday,0,0,68845.71875,64545.31640625,4300.40234375,-3074.28125,455.09375,-771.02734375,-771.02734375,3529.375,DOWN
2024-03-18,68371.3046875,68897.1328125,66594.2265625,67548.59375,67548.59375,49261579492,2024,3,18,Monday,0,0,68897.1328125,66594.2265625,2302.90625,822.7109375,525.828125,-954.3671875,-1777.078125,525.828125,UP
2024-03-19,67556.1328125,68106.9296875,61536.1796875,61912.7734375,61912.7734375,74215844794,2024,3,19,Tuesday,0,0,68106.9296875,61536.1796875,6570.75,5643.359375,550.796875,-376.59375,-6019.953125,550.796875,UP
2024-03-20,61930.15625,68115.2578125,60807.78515625,67913.671875,67913.671875,66792634382,2024,3,20,Wednesday,0,0,68115.2578125,60807.78515625,7307.47265625,-5983.515625,201.5859375,-1122.37109375,-1122.37109375,6185.1015625,DOWN
2024-03-21,67911.5859375,68199.9921875,64580.91796875,65491.390625,65491.390625,44480350565,2024,3,21,Thursday,0,0,68199.9921875,64580.91796875,3619.07421875,2420.1953125,288.40625,-910.47265625,-3330.66796875,288.40625,UP
2024-03-22,65489.9296875,66623.75,62355.37109375,63778.76171875,63778.76171875,41401116964,2024,3,22,Friday,0,0,66623.75,62355.37109375,4268.37890625,1711.16796875,1133.8203125,-1423.390625,-3134.55859375,1133.8203125,UP
2024-03-23,63802.72265625,65976.3984375,63038.4921875,64062.203125,64062.203125,24738964812,2024,3,23,Saturday,0,0,65976.3984375,63038.4921875,2937.90625,-259.48046875,1914.1953125,-764.23046875,-764.23046875,2173.67578125,DOWN
2024-03-24,64070.75390625,67622.7578125,63825.8515625,67234.171875,67234.171875,27206630673,2024,3,24,Sunday,0,0,67622.7578125,63825.8515625,3796.90625,-3163.41796875,388.5859375,-244.90234375,-244.90234375,3552.00390625,DOWN
2024-03-25,67234.09375,71162.59375,66414.8359375,69958.8125,69958.8125,42700139523,2024,3,25,Monday,0,0,71162.59375,66414.8359375,4747.7578125,-2724.71875,1203.78125,-819.2578125,-819.2578125,3928.5,DOWN
