,Date,Open,High,Low,Close,Prev. Close,Change,% Change,open %change,low %change,high %change
96,19-MAR-2024,13.895,14.445,13.875,14.1125,13.895,0.22,1.57,1.4974433893352819,1.4974433893352819,-5.2593133674214805
97,20-MAR-2024,14.1125,14.2825,13.085,13.4725,14.1125,-0.64,-4.53,1.5653112630442687,1.7092479309104045,-2.392947103274556
98,21-MAR-2024,13.4725,13.4725,12.3425,12.5125,13.4725,-0.96,-7.13,-4.5349867139061155,2.7457927369353357,-5.739592559787425
99,22-MAR-2024,12.5125,13.0475,11.81,12.22,12.5125,-0.29,-2.34,-7.125626275746898,1.261829652996845,-7.125626275746898
100,26-MAR-2024,12.22,13.1025,12.085,12.82,12.22,0.6,4.91,-2.337662337662327,3.2767232767232777,-6.613386613386604
101,27-MAR-2024,12.82,13.01,12.5325,12.7025,12.82,-0.12,-0.92,4.909983633387886,6.014729950900159,-2.3117839607201214
102,28-MAR-2024,12.7025,13.18,12.26,12.8325,12.7025,0.13,1.02,-0.9165366614664563,1.3260530421216843,-2.3985959438377473
103,01-APR-2024,12.8325,13.3575,12.005,12.0825,12.8325,-0.75,-5.84,1.023420586498713,4.506986813619364,-2.7356819523715816
104,02-APR-2024,12.0825,12.305,11.5975,11.6525,12.0825,-0.43,-3.56,-5.844535359438924,0.6039353204753461,-9.935710111046175
105,03-APR-2024,11.6525,11.8275,11.3125,11.3725,11.6525,-0.28,-2.4,-3.5588661286985293,0.4552038071591121,-5.400372439478584
106,04-APR-2024,11.3725,11.8375,10.86,11.22,11.3725,-0.15,-1.34,-2.402917828792099,0.5149109633125981,-3.9047414717871707
107,05-APR-2024,11.22,11.6825,11.035,11.3375,11.22,0.12,1.05,-1.3409540558364463,3.1655308859090017,-5.429764783468891
108,08-APR-2024,11.3375,11.7425,11.1325,11.61,11.3375,0.27,2.4,1.0472370766488388,2.696078431372551,-3.0748663101604174
109,09-APR-2024,11.61,11.6125,10.6175,11.355,11.61,-0.25,-2.2,2.403528114663718,4.211686879823587,-1.1686879823594292
110,10-APR-2024,11.355,11.355,10.985,11.1075,11.355,-0.25,-2.18,-2.19638242894056,6.352282515073219,-2.217915590008616
111,12-APR-2024,11.1075,11.605,11.1075,11.5325,11.1075,0.43,3.83,-2.1796565389696214,1.0788199031263803,-2.1796565389696214
112,15-APR-2024,11.5325,12.7375,11.3075,12.4675,11.5325,0.93,8.11,3.826243529146979,3.826243529146979,-0.652712131442717
113,16-APR-2024,12.4675,12.925,12.34,12.615,12.4675,0.15,1.18,8.107522219813559,10.058530240624323,-2.3412096249729144
114,18-APR-2024,12.615,13.3875,12.0275,13.04,12.615,0.42,3.37,1.1830759975937506,2.2057349107679998,-2.48646480850211
115,19-APR-2024,13.04,14.4125,11.915,13.4575,13.04,0.42,3.2,3.3690051525961073,8.026159334126035,-2.754657154181531
116,22-APR-2024,13.4575,13.4575,12.6125,12.7,13.4575,-0.76,-5.63,3.201687116564421,11.828987730061353,-7.323619631901841
117,23-APR-2024,12.7,12.7,9.8575,10.195,12.7,-2.5,-19.72,-5.628831506594838,0.6501950585175448,-5.628831506594838
118,24-APR-2024,10.195,11.1325,9.945,10.275,10.195,0.08,0.78,-19.724409448818893,2.6574803149606328,-19.724409448818893
119,25-APR-2024,10.275,11.4575,10.26,10.73,10.275,0.46,4.43,0.7846983815595888,3.236880823933301,-8.410985777341834
120,26-APR-2024,10.73,11.315,10.5875,10.925,10.73,0.2,1.82,4.428223844282239,4.574209245742098,-7.080291970802912
121,29-APR-2024,10.925,12.4875,10.925,12.235,10.925,1.31,11.99,1.8173345759552681,3.1453867660764248,-3.63466915191052
122,30-APR-2024,12.235,13.2125,12.235,12.87,12.235,0.63,5.19,11.990846681922186,11.990846681922186,-2.311212814645321
123,02-MAY-2024,12.87,13.9475,12.87,13.445,12.87,0.58,4.47,5.190028606456885,5.190028606456885,-2.7993461381283296
124,03-MAY-2024,13.445,15.3125,13.445,14.6175,13.445,1.17,8.72,4.467754467754476,4.467754467754476,-3.9044289044289004
125,06-MAY-2024,14.6175,16.9625,14.6175,16.6,14.6175,1.98,13.56,8.720714020081811,8.720714020081811,-5.169207883971739
126,07-MAY-2024,16.6,17.6425,16.6,17.0075,16.6,0.41,2.45,13.562510689242357,13.562510689242357,-2.4799042243885556
127,08-MAY-2024,17.0075,18.3175,16.4625,17.08,17.0075,0.07,0.43,2.4548192771084265,2.4548192771084265,-3.8253012048192647
128,09-MAY-2024,17.08,19.1725,17.08,18.2,17.08,1.12,6.56,0.4262825224165693,3.6307511392032907,-7.276201675731299
129,10-MAY-2024,18.2,19.0075,17.995,18.4725,18.2,0.27,1.5,6.557377049180333,6.557377049180333,-5.6937939110070275
130,13-MAY-2024,18.4725,21.485,18.4725,20.6,18.4725,2.13,11.52,1.497252747252752,2.623626373626369,-2.9395604395604407
131,14-MAY-2024,20.6,21.875,20.1125,20.195,20.6,-0.41,-1.97,11.517120043307626,11.517120043307626,-4.790905399918787
132,15-MAY-2024,20.195,20.6575,19.87,20.2725,20.195,0.08,0.38,-1.9660194174757335,0.4004854368932018,-8.15533980582524
133,16-MAY-2024,20.2725,21.1125,18.965,19.995,20.2725,-0.28,-1.37,0.38375835602872277,1.9930675909878675,-1.906412478336212
134,17-MAY-2024,19.995,20.3675,18.98,19.7975,19.995,-0.2,-0.99,-1.3688494265630773,5.080774448144043,-5.5123936366999615
135,18-MAY-2024,19.7975,20.945,17.3375,20.525,19.7975,0.73,3.67,-0.9877469367341913,4.088522130532628,-2.8507126781695438
136,21-MAY-2024,20.525,22.3025,20.525,21.81,20.525,1.29,6.26,3.6747064023235216,16.100517742139157,-2.12147998484658
137,22-MAY-2024,21.81,22.2925,18.185,21.4675,21.81,-0.34,-1.57,6.2606577344701595,6.2606577344701595,-2.399512789281363
138,23-MAY-2024,21.4675,24.215,18.84,21.38,21.4675,-0.09,-0.41,-1.570380559376422,15.050435580009184,-3.7826685006877545
139,24-MAY-2024,21.38,21.8975,20.59,21.71,21.38,0.33,1.54,-0.40759287294748864,11.83183882613252,-13.206009083498316
140,27-MAY-2024,21.71,26.195,18.435,23.1925,21.71,1.48,6.83,1.543498596819466,5.238540692235739,-0.8769878391019645
141,28-MAY-2024,23.1925,24.475,22.025,24.195,23.1925,1.0,4.32,6.828650391524635,21.91386457853524,-13.8300322432059
142,29-MAY-2024,24.195,24.7725,23.545,24.175,24.195,-0.02,-0.08,4.322518055405848,9.356472997736345,-1.207286838417597
143,30-MAY-2024,24.175,24.52,22.7525,24.175,24.175,0.0,0.0,-0.08266170696424704,2.6038437693738334,-2.4695184955569336
144,31-MAY-2024,24.175,24.81,22.5975,24.6025,24.175,0.43,1.77,0.0,5.884177869700101,-1.427094105480864
145,03-JUN-2024,24.6025,24.6025,19.115,20.9375,24.6025,-3.66,-14.9,1.7683557394002003,8.293691830403304,-0.8583247156153032
146,04-JUN-2024,20.9375,31.71,18.8025,26.7475,20.9375,5.81,27.75,-14.896860075195606,7.407783761812831,-14.896860075195606
147,05-JUN-2024,26.7475,26.925,18.6575,18.885,26.7475,-7.86,-29.4,27.749253731343277,37.94626865671642,-23.70149253731344
148,06-JUN-2024,18.885,18.885,16.5575,16.8,18.885,-2.09,-11.04,-29.39527058603607,0.8505467800729142,-30.0588840078512
149,07-JUN-2024,16.8,17.145,16.3725,16.8825,16.8,0.08,0.49,-11.040508339952346,1.2840879004500911,-11.040508339952346
150,10-JUN-2024,16.8825,17.25,16.17,16.3975,16.8825,-0.48,-2.87,0.49107142857142605,3.035714285714295,-1.5624999999999956
151,11-JUN-2024,16.3975,16.3975,14.675,14.765,16.3975,-1.63,-9.96,-2.872797275285055,1.3475492373759759,-5.049607581815485
152,12-JUN-2024,14.765,14.765,13.165,14.3875,14.765,-0.38,-2.56,-9.955785942979114,0.5488641561213591,-9.955785942979114
153,13-JUN-2024,14.3875,14.3875,13.3125,13.4875,14.3875,-0.9,-6.26,-2.556721977649856,8.27971554351507,-2.556721977649856
154,14-JUN-2024,13.4875,13.4875,12.655,12.8225,13.4875,-0.67,-4.93,-6.255430060816672,1.2163336229365818,-6.255430060816672
155,18-JUN-2024,12.8225,13.42,12.625,12.965,12.8225,0.14,1.11,-4.930491195551443,1.241890639481004,-4.930491195551443
156,19-JUN-2024,12.965,13.815,11.63,13.7125,12.965,0.75,5.77,1.1113277441996496,2.6515890037044247,-3.548449990251511
157,20-JUN-2024,13.7125,14.06,13.1025,13.345,13.7125,-0.37,-2.68,5.765522560740459,16.06247589664481,-0.7905900501349723
158,21-JUN-2024,13.345,13.59,12.475,13.18,13.345,-0.17,-1.24,-2.680036463081128,1.7684594348222533,-5.214220601640838
159,24-JUN-2024,13.18,14.2675,13.15,14.0575,13.18,0.88,6.66,-1.2364181341326408,5.282877482203072,-3.072311727238667
160,25-JUN-2024,14.0575,14.455,13.8425,14.3125,14.0575,0.26,1.81,6.657814871016689,6.885432473444604,-1.5933232169954543
161,26-JUN-2024,14.3125,14.5475,13.985,14.045,14.3125,-0.27,-1.87,1.813978303396769,3.343410990574431,-1.0136937577805447
162,27-JUN-2024,14.045,14.61,13.915,14.1525,14.045,0.11,0.77,-1.8689956331877735,0.4192139737991301,-3.510917030567682
163,28-JUN-2024,14.1525,14.29,13.6875,13.8025,14.1525,-0.35,-2.47,0.7653969384122459,1.6909932360270612,-3.2573869704521154
164,01-JUL-2024,13.8025,14.2275,13.7925,13.83,13.8025,0.03,0.2,-2.4730612965907057,0.8125772831655199,-3.444621091679908
165,02-JUL-2024,13.83,14.0125,13.3225,13.64,13.83,-0.19,-1.37,0.1992392682485047,0.2716899112479597,-2.879913059228394
