Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
9,2024-01-08,,09:16:00,72079.35,,,,,2024-01-08,,15:15:00,71362.3,610.0,,,714.95,-306.54999999999995,Exit Condition Met For Trade
9.2,2024-01-08,Monday,11:09:00,110.0,10,PE,70700.0,Buy,2024-01-08,Monday,15:15:00,171.0,610.0,55.45454545454545,2024-01-12,,,Exit Condition Met For Trade
10,2024-01-09,,09:16:00,71767.86,,,,,2024-01-09,,15:15:00,71400.97,313.0,,,565.95,-143.04999999999995,Exit Condition Met For Trade
10.2,2024-01-09,Tuesday,14:22:00,112.4,10,PE,70800.0,Buy,2024-01-09,Tuesday,15:15:00,143.7,312.99999999999983,27.846975088967955,2024-01-12,,,Exit Condition Met For Trade
11,2024-01-11,,09:16:00,71924.82,,,,,2024-01-11,,15:15:00,71726.94,-614.0,,,32.950000000000045,-687.05,Exit Condition Met For Trade
11.2,2024-01-11,Thursday,14:11:00,104.7,10,PE,71300.0,Buy,2024-01-11,Thursday,15:15:00,43.3,-614.0,-58.643744030563525,2024-01-12,,,Exit Condition Met For Trade
12,2024-01-12,,09:16:00,72036.33,,,,,2024-01-12,,15:15:00,72508.38,2043.0,,,3093.95,-0.05,Exit Condition Met For Trade
12.1,2024-01-12,Friday,10:05:00,129.05,10,CE,72200.0,Buy,2024-01-12,Friday,15:15:00,333.35,2043.0,158.31073227431227,2024-01-12,,,Exit Condition Met For Trade
13,2024-01-17,,09:16:00,72249.05,,,,,2024-01-17,,15:15:00,71587.25,-294.5,,,0,-789.5500000000002,Exit Condition Met For Trade
13.1,2024-01-17,Wednesday,09:21:00,88.0,10,CE,73500.0,Buy,2024-01-17,Wednesday,15:15:00,28.25,-597.5,-67.89772727272727,2024-01-19,,,Exit Condition Met For Trade
13.2,2024-01-17,Wednesday,12:03:00,125.75,10,PE,70800.0,Buy,2024-01-17,Wednesday,15:15:00,156.05,303.0000000000001,24.09542743538768,2024-01-19,,,Exit Condition Met For Trade
14,2024-01-18,,09:16:00,71099.24,,,,,2024-01-18,,15:15:00,71186.32,-750.0,,,463.95000000000005,-750.05,Exit Condition Met For Trade
14.2,2024-01-18,Thursday,09:52:00,119.0,10,PE,69900.0,Buy,2024-01-18,Thursday,10:48:00,44.0,-750.0,-63.02521008403362,2024-01-19,,,Stop Loss Hit
15,2024-01-23,,09:16:00,71967.06,,,,,2024-01-23,,15:15:00,70384.73,3500.0,,,3500.0,-214.54999999999995,Exit Condition Met For Trade
15.2,2024-01-23,Tuesday,10:07:00,115.5,10,PE,70900.0,Buy,2024-01-23,Tuesday,12:05:00,465.5,3500.0,303.030303030303,2024-01-25,,,Target Hit
16,2024-01-24,,09:16:00,70251.67,,,,,2024-01-24,,15:15:00,71061.27,1458.0,,,1582.95,-436.04999999999995,Exit Condition Met For Trade
16.1,2024-01-24,Wednesday,09:23:00,107.8,10,CE,71200.0,Buy,2024-01-24,Wednesday,15:15:00,253.6,1458.0,135.25046382189242,2024-01-25,,,Exit Condition Met For Trade
17,2024-01-25,,09:16:00,70919.47,,,,,2024-01-25,,15:15:00,70645.82,-750.0,,,1026.95,-750.05,Exit Condition Met For Trade
17.2,2024-01-25,Thursday,10:20:00,112.1,10,PE,70300.0,Buy,2024-01-25,Thursday,13:45:00,37.1,-750.0,-66.90454950936665,2024-01-25,,,Stop Loss Hit
18,2024-01-29,,09:16:00,71102.14,,,,,2024-01-29,,15:15:00,71929.92,927.5,,,1443.45,-134.54999999999995,Exit Condition Met For Trade
18.1,2024-01-29,Monday,09:26:00,109.0,10,CE,73500.0,Buy,2024-01-29,Monday,15:15:00,201.75,927.5,85.09174311926606,2024-02-02,,,Exit Condition Met For Trade
19,2024-02-02,,09:16:00,72159.81,,,,,2024-02-02,,15:15:00,72076.5,3500.0,,,3500.0,-550.55,Exit Condition Met For Trade
19.1,2024-02-02,Friday,09:20:00,99.0,10,CE,72700.0,Buy,2024-02-02,Friday,11:32:00,449.0,3500.0,353.5353535353535,2024-02-02,,,Target Hit
20,2024-02-08,,09:16:00,72314.73,,,,,2024-02-08,,15:15:00,71412.36,212.0,,,937.95,-503.54999999999995,Exit Condition Met For Trade
20.2,2024-02-08,Thursday,11:03:00,113.85,10,PE,71000.0,Buy,2024-02-08,Thursday,15:15:00,135.05,212.00000000000017,18.62099253403603,2024-02-09,,,Exit Condition Met For Trade
21,2024-02-09,,09:16:00,71306.12,,,,,2024-02-09,,15:15:00,71597.45,-750.0,,,256.95000000000005,-750.05,Exit Condition Met For Trade
21.1,2024-02-09,Friday,09:22:00,95.8,10,CE,72000.0,Buy,2024-02-09,Friday,11:02:00,20.8,-750.0,-78.28810020876827,2024-02-09,,,Stop Loss Hit
22,2024-02-14,,09:16:00,70927.37,,,,,2024-02-14,,15:15:00,71741.67,-264.0,,,310.45000000000005,-390.54999999999995,Exit Condition Met For Trade
22.1,2024-02-14,Wednesday,14:59:00,102.5,10,CE,72700.0,Buy,2024-02-14,Wednesday,15:15:00,76.1,-264.00000000000006,-25.756097560975615,2024-02-16,,,Exit Condition Met For Trade
23,2024-02-22,,09:16:00,72597.07,,,,,2024-02-22,,15:15:00,73137.9,-750.0,,,0,-750.05,Exit Condition Met For Trade
23.2,2024-02-22,Thursday,10:24:00,111.0,10,PE,71400.0,Buy,2024-02-22,Thursday,13:25:00,36.0,-750.0,-67.56756756756756,2024-02-23,,,Stop Loss Hit
24,2024-02-28,,09:16:00,73153.26,,,,,2024-02-28,,15:15:00,72321.92,115.5,,,399.45000000000005,-340.54999999999995,Exit Condition Met For Trade
24.2,2024-02-28,Wednesday,12:58:00,111.65,10,PE,71300.0,Buy,2024-02-28,Wednesday,15:15:00,123.2,115.49999999999997,10.344827586206893,2024-03-01,,,Exit Condition Met For Trade
25,2024-03-01,,09:16:00,72888.1,,,,,2024-03-01,,15:15:00,73701.3,2294.5,,,2858.45,-283.04999999999995,Exit Condition Met For Trade
25.1,2024-03-01,Friday,09:35:00,120.55,10,CE,73400.0,Buy,2024-03-01,Friday,15:15:00,350.0,2294.5,190.3359601824969,2024-03-01,,,Exit Condition Met For Trade
26,2024-03-06,,09:16:00,73476.91,,,,,2024-03-06,,15:15:00,74091.92,682.0,,,1103.95,-44.549999999999955,Exit Condition Met For Trade
26.1,2024-03-06,Wednesday,14:06:00,112.0,10,CE,74300.0,Buy,2024-03-06,Wednesday,15:15:00,180.2,681.9999999999999,60.89285714285713,2024-03-07,,,Exit Condition Met For Trade
27,2024-03-11,,09:16:00,74070.94,,,,,2024-03-11,,15:15:00,73499.32,-510.5,,,186.45000000000005,-547.05,Exit Condition Met For Trade
27.1,2024-03-11,Monday,09:17:00,94.05,10,CE,75300.0,Buy,2024-03-11,Monday,15:15:00,43.0,-510.5,-54.27963849016481,2024-03-15,,,Exit Condition Met For Trade
28,2024-03-13,,09:16:00,73944.93,,,,,2024-03-13,,15:15:00,72684.16,1595.5,,,2278.95,-166.04999999999995,Exit Condition Met For Trade
28.2,2024-03-13,Wednesday,11:26:00,113.3,10,PE,72400.0,Buy,2024-03-13,Wednesday,15:15:00,272.85,1595.5,140.82082965578113,2024-03-15,,,Exit Condition Met For Trade
29,2024-03-14,,09:16:00,72678.48,,,,,2024-03-14,,15:15:00,73078.32,-750.0,,,60.950000000000045,-750.05,Exit Condition Met For Trade
29.1,2024-03-14,Thursday,12:24:00,108.9,10,CE,73900.0,Buy,2024-03-14,Thursday,14:11:00,33.9,-750.0,-68.87052341597796,2024-03-15,,,Stop Loss Hit
30,2024-03-15,,09:16:00,72860.45,,,,,2024-03-15,,15:15:00,72593.7,-750.0,,,0,-750.05,Exit Condition Met For Trade
30.2,2024-03-15,Friday,09:36:00,104.5,10,PE,72300.0,Buy,2024-03-15,Friday,10:48:00,29.5,-750.0,-71.77033492822966,2024-03-15,,,Stop Loss Hit
31,2024-03-22,,09:16:00,72473.64,,,,,2024-03-22,,15:15:00,72801.59,-750.0,,,163.45000000000005,-750.05,Exit Condition Met For Trade
31.2,2024-03-22,Friday,09:27:00,117.05,10,PE,72000.0,Buy,2024-03-22,Friday,09:37:00,42.05,-750.0,-64.07518154634772,2024-03-22,,,Stop Loss Hit
32,2024-03-28,,09:16:00,73159.76,,,,,2024-03-28,,15:15:00,73414.51,3500.0,,,3500.0,-269.04999999999995,Exit Condition Met For Trade
32.1,2024-03-28,Thursday,09:24:00,117.7,10,CE,73500.0,Buy,2024-03-28,Thursday,12:37:00,467.7,3500.0,297.3661852166525,2024-03-28,,,Target Hit
33,2024-04-04,,09:16:00,74301.12,,,,,2024-04-04,,15:15:00,74223.09,-616.5,,,1502.95,-620.05,Exit Condition Met For Trade
33.2,2024-04-04,Thursday,09:32:00,96.25,10,PE,73400.0,Buy,2024-04-04,Thursday,15:15:00,34.6,-616.5,-64.05194805194805,2024-04-05,,,Exit Condition Met For Trade
34,2024-04-12,,09:16:00,74767.81,,,,,2024-04-12,,15:15:00,74241.37,-750.0,,,21.950000000000045,-750.05,Exit Condition Met For Trade
34.2,2024-04-12,Friday,09:45:00,115.3,10,PE,74300.0,Buy,2024-04-12,Friday,11:20:00,40.3,-750.0,-65.04770164787512,2024-04-12,,,Stop Loss Hit
35,2024-04-15,,09:16:00,73683.78,,,,,2024-04-15,,15:15:00,73388.38,22.0,,,790.95,-484.54999999999995,Exit Condition Met For Trade
35.2,2024-04-15,Monday,09:17:00,133.65,10,PE,72300.0,Buy,2024-04-15,Monday,15:15:00,135.85,21.999999999999886,1.6460905349794153,2024-04-19,,,Exit Condition Met For Trade
36,2024-04-18,,09:16:00,73194.33,,,,,2024-04-18,,15:15:00,72386.49,1086.5,,,1086.5,-563.55,Exit Condition Met For Trade
36.2,2024-04-18,Thursday,13:31:00,98.9,10,PE,72200.0,Buy,2024-04-18,Thursday,15:15:00,207.55,1086.5,109.85844287158746,2024-04-19,,,Exit Condition Met For Trade
37,2024-04-19,,09:16:00,71881.99,,,,,2024-04-19,,15:15:00,73131.68,3500.0,,,3500.0,-393.54999999999995,Exit Condition Met For Trade
37.1,2024-04-19,Friday,09:24:00,107.8,10,CE,72600.0,Buy,2024-04-19,Friday,14:00:00,457.8,3500.0,324.6753246753247,2024-04-19,,,Target Hit
38,2024-04-25,,09:16:00,73663.75,,,,,2024-04-25,,15:15:00,74361.69,1280.5,,,2429.95,-381.54999999999995,Exit Condition Met For Trade
38.1,2024-04-25,Thursday,09:41:00,104.95,10,CE,74400.0,Buy,2024-04-25,Thursday,15:15:00,233.0,1280.5,122.01048118151502,2024-04-26,,,Exit Condition Met For Trade
39,2024-04-26,,09:16:00,74397.62,,,,,2024-04-26,,15:15:00,73732.47,-750.0,,,366.45000000000005,-750.05,Exit Condition Met For Trade
39.2,2024-04-26,Friday,10:04:00,119.0,10,PE,73900.0,Buy,2024-04-26,Friday,11:01:00,44.0,-750.0,-63.02521008403362,2024-04-26,,,Stop Loss Hit
40,2024-05-03,,09:16:00,75004.53,,,,,2024-05-03,,15:15:00,73951.09,3500.0,,,3500.0,-195.04999999999995,Exit Condition Met For Trade
40.2,2024-05-03,Friday,09:58:00,104.5,10,PE,74400.0,Buy,2024-05-03,Friday,11:22:00,454.5,3500.0,334.9282296650718,2024-05-03,,,Target Hit
41,2024-05-07,,09:16:00,73963.32,,,,,2024-05-07,,15:15:00,73530.94,-291.0,,,283.45000000000005,-464.04999999999995,Exit Condition Met For Trade
