datetime,open,high,low,close,adj close,volume,year,month,hour,day,day_name,minute,max,min,difference,candle_body,high_shadow,low_shadow,trend
2024-08-08 14:00:00,24136.400390625,24168.5,24131.19921875,24154.599609375,24154.599609375,0,2024,8,14,8,Thursday,0,24168.5,24131.19921875,37.30078125,-18.19921875,32.099609375,23.400390625,DOWN
2024-08-08 14:15:00,24154.75,24195.80078125,24134.05078125,24158.75,24158.75,0,2024,8,14,8,Thursday,15,24195.80078125,24134.05078125,61.75,-4.0,41.05078125,24.69921875,DOWN
2024-08-08 14:30:00,24158.94921875,24176.55078125,24151.44921875,24169.900390625,24169.900390625,0,2024,8,14,8,Thursday,30,24176.55078125,24151.44921875,25.1015625,-10.951171875,17.6015625,18.451171875,DOWN
2024-08-08 14:45:00,24169.19921875,24187.69921875,24122.75,24155.5,24155.5,0,2024,8,14,8,Thursday,45,24187.69921875,24122.75,64.94921875,13.69921875,18.5,32.75,UP
2024-08-08 15:00:00,24157.0,24167.599609375,24113.349609375,24115.19921875,24115.19921875,0,2024,8,15,8,Thursday,0,24167.599609375,24113.349609375,54.25,41.80078125,10.599609375,1.849609375,UP
2024-08-08 15:15:00,24115.55078125,24117.900390625,24079.94921875,24098.69921875,24098.69921875,0,2024,8,15,8,Thursday,15,24117.900390625,24079.94921875,37.951171875,16.8515625,2.349609375,18.75,UP
2024-08-09 09:15:00,24386.849609375,24404.69921875,24316.80078125,24389.099609375,24389.099609375,0,2024,8,9,9,Friday,15,24404.69921875,24316.80078125,87.8984375,-2.25,17.849609375,72.298828125,DOWN
2024-08-09 09:30:00,24388.94921875,24409.0,24370.55078125,24403.349609375,24403.349609375,0,2024,8,9,9,Friday,30,24409.0,24370.55078125,38.44921875,-14.400390625,20.05078125,32.798828125,DOWN
2024-08-09 09:45:00,24404.19921875,24419.599609375,24359.900390625,24373.75,24373.75,0,2024,8,9,9,Friday,45,24419.599609375,24359.900390625,59.69921875,30.44921875,15.400390625,13.849609375,UP
2024-08-09 10:00:00,24373.30078125,24386.400390625,24347.599609375,24356.0,24356.0,0,2024,8,10,9,Friday,0,24386.400390625,24347.599609375,38.80078125,17.30078125,13.099609375,8.400390625,UP
2024-08-09 10:15:00,24356.44921875,24372.349609375,24317.150390625,24327.849609375,24327.849609375,0,2024,8,10,9,Friday,15,24372.349609375,24317.150390625,55.19921875,28.599609375,15.900390625,10.69921875,UP
2024-08-09 10:30:00,24328.650390625,24344.5,24312.19921875,24329.80078125,24329.80078125,0,2024,8,10,9,Friday,30,24344.5,24312.19921875,32.30078125,-1.150390625,15.849609375,17.6015625,DOWN
2024-08-09 10:45:00,24329.19921875,24362.349609375,24324.400390625,24343.150390625,24343.150390625,0,2024,8,10,9,Friday,45,24362.349609375,24324.400390625,37.94921875,-13.951171875,33.150390625,18.75,DOWN
2024-08-09 11:00:00,24343.0,24369.69921875,24341.69921875,24346.150390625,24346.150390625,0,2024,8,11,9,Friday,0,24369.69921875,24341.69921875,28.0,-3.150390625,26.69921875,4.451171875,DOWN
2024-08-09 11:15:00,24345.19921875,24360.349609375,24337.25,24351.099609375,24351.099609375,0,2024,8,11,9,Friday,15,24360.349609375,24337.25,23.099609375,-5.900390625,15.150390625,13.849609375,DOWN
2024-08-09 11:30:00,24350.75,24360.650390625,24344.849609375,24355.55078125,24355.55078125,0,2024,8,11,9,Friday,30,24360.650390625,24344.849609375,15.80078125,-4.80078125,9.900390625,10.701171875,DOWN
2024-08-09 11:45:00,24355.25,24371.849609375,24354.44921875,24371.400390625,24371.400390625,0,2024,8,11,9,Friday,45,24371.849609375,24354.44921875,17.400390625,-16.150390625,16.599609375,16.951171875,DOWN
