Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
90,2024-06-19,,09:16:00,77401.29,,,,,2024-06-19,,15:15:00,77319.32,-446.0,,,309.95000000000005,-458.04999999999995,Exit Condition Met For Trade
90.1,2024-06-19,Wednesday,14:33:00,70.9,10,CE,78500.0,Buy,2024-06-19,Wednesday,15:15:00,43.95,-269.5,-38.01128349788435,2024-06-21,,,Exit Condition Met For Trade
90.2,2024-06-19,Wednesday,10:16:00,71.1,10,PE,76100.0,Buy,2024-06-19,Wednesday,15:15:00,53.45,-176.49999999999991,-24.824191279887472,2024-06-21,,,Exit Condition Met For Trade
91,2024-06-20,,09:16:00,77444.14,,,,,2024-06-20,,15:15:00,77473.82,-644.0,,,128.95000000000005,-671.05,Exit Condition Met For Trade
91.2,2024-06-20,Thursday,09:23:00,82.05,10,PE,76300.0,Buy,2024-06-20,Thursday,15:15:00,17.65,-644.0,-78.4887263863498,2024-06-21,,,Exit Condition Met For Trade
92,2024-06-21,,09:16:00,77636.64,,,,,2024-06-21,,15:15:00,77140.84,-750.0,,,1113.45,-750.05,Exit Condition Met For Trade
92.2,2024-06-21,Friday,10:46:00,80.1,10,PE,76800.0,Buy,2024-06-21,Friday,14:55:00,5.1,-750.0,-93.63295880149813,2024-06-21,,,Stop Loss Hit
93,2024-06-25,,09:16:00,77517.42,,,,,2024-06-25,,15:15:00,78083.92,269.5,,,404.45000000000005,-107.54999999999995,Exit Condition Met For Trade
93.1,2024-06-25,Tuesday,12:43:00,72.0,10,CE,78900.0,Buy,2024-06-25,Tuesday,15:15:00,98.95,269.5,37.430555555555564,2024-06-28,,,Exit Condition Met For Trade
94,2024-06-26,,09:16:00,78013.11,,,,,2024-06-26,,15:15:00,78700.85,626.5,,,846.95,-0.05,Exit Condition Met For Trade
94.1,2024-06-26,Wednesday,10:54:00,72.0,10,CE,79300.0,Buy,2024-06-26,Wednesday,15:15:00,134.65,626.5,87.0138888888889,2024-06-28,,,Exit Condition Met For Trade
95,2024-06-27,,09:16:00,78557.14,,,,,2024-06-27,,15:15:00,79249.39,168.0,,,456.95000000000005,-446.04999999999995,Exit Condition Met For Trade
95.1,2024-06-27,Thursday,10:03:00,74.1,10,CE,79800.0,Buy,2024-06-27,Thursday,15:15:00,90.9,168.0000000000001,22.672064777327954,2024-06-28,,,Exit Condition Met For Trade
96,2024-07-01,,09:16:00,79037.21,,,,,2024-07-01,,15:15:00,79506.55,-314.0,,,0,-341.54999999999995,Exit Condition Met For Trade
96.1,2024-07-01,Monday,09:42:00,76.65,10,CE,81200.0,Buy,2024-07-01,Monday,15:15:00,45.25,-314.00000000000006,-40.965427266797136,2024-07-05,,,Exit Condition Met For Trade
97,2024-07-03,,09:16:00,79789.92,,,,,2024-07-03,,15:15:00,80022.36,-234.5,,,39.950000000000045,-351.04999999999995,Exit Condition Met For Trade
97.1,2024-07-03,Wednesday,09:52:00,77.85,10,CE,81000.0,Buy,2024-07-03,Wednesday,15:15:00,54.4,-234.49999999999994,-30.12202954399486,2024-07-05,,,Exit Condition Met For Trade
98,2024-07-05,,09:16:00,79813.41,,,,,2024-07-05,,15:15:00,80042.51,-692.0,,,185.95000000000005,-692.0,Exit Condition Met For Trade
98.2,2024-07-05,Friday,09:18:00,69.6,10,PE,79100.0,Buy,2024-07-05,Friday,15:15:00,0.4,-691.9999999999999,-99.42528735632183,2024-07-05,,,Exit Condition Met For Trade
99,2024-07-10,,09:16:00,80273.79,,,,,2024-07-10,,15:15:00,79950.74,-37.5,,,1234.95,-81.04999999999995,Exit Condition Met For Trade
99.2,2024-07-10,Wednesday,10:21:00,67.55,10,PE,79000.0,Buy,2024-07-10,Wednesday,15:15:00,63.8,-37.5,-5.5514433752775725,2024-07-12,,,Exit Condition Met For Trade
100,2024-07-11,,09:16:00,80097.14,,,,,2024-07-11,,15:15:00,79914.56,-395.5,,,322.45000000000005,-462.04999999999995,Exit Condition Met For Trade
100.2,2024-07-11,Thursday,09:33:00,69.0,10,PE,79100.0,Buy,2024-07-11,Thursday,15:15:00,29.45,-395.5,-57.31884057971014,2024-07-12,,,Exit Condition Met For Trade
101,2024-07-12,,09:16:00,80098.53,,,,,2024-07-12,,10:56:00,80482.25,3281.0,,,3281.0,-506.54999999999995,Square Off All Legs due to Target Profit
101.1,2024-07-12,Friday,09:27:00,82.35,10,CE,80500.0,Buy,2024-07-12,Friday,10:56:00,432.35,3500.0,425.0151791135398,2024-07-12,,,Target Hit
101.2,2024-07-12,Friday,09:20:00,77.25,10,PE,79500.0,Buy,2024-07-12,Friday,10:56:00,55.35,-219.0,-28.349514563106798,2024-07-12,,,Square Off All Legs due to Target Profit
102,2024-07-15,,09:16:00,80698.75,,,,,2024-07-15,,15:15:00,80650.76,-283.0,,,61.450000000000045,-283.0,Exit Condition Met For Trade
102.1,2024-07-15,Monday,09:17:00,78.4,10,CE,82100.0,Buy,2024-07-15,Monday,15:15:00,50.1,-283.00000000000006,-36.09693877551021,2024-07-19,,,Exit Condition Met For Trade
103,2024-07-18,,09:16:00,80537.24,,,,,2024-07-18,,15:15:00,81363.01,1432.5,,,2243.95,-367.54999999999995,Exit Condition Met For Trade
103.1,2024-07-18,Thursday,09:46:00,69.9,10,CE,81500.0,Buy,2024-07-18,Thursday,15:15:00,213.15,1432.5,204.93562231759654,2024-07-19,,,Exit Condition Met For Trade
104,2024-07-22,,09:16:00,80217.65,,,,,2024-07-22,,15:15:00,80537.98,29.5,,,97.45000000000005,-298.54999999999995,Exit Condition Met For Trade
104.2,2024-07-22,Monday,09:31:00,86.55,10,PE,77500.0,Buy,2024-07-22,Monday,15:15:00,89.5,29.50000000000003,3.4084344309647636,2024-07-26,,,Exit Condition Met For Trade
105,2024-07-23,,09:16:00,80745.96,,,,,2024-07-23,,13:59:00,80286.46,-1361.5,,,58.950000000000045,-1361.55,Square Off All Legs due to Stop Loss
105.1,2024-07-23,Tuesday,11:09:00,73.65,10,CE,83800.0,Buy,2024-07-23,Tuesday,13:59:00,12.55,-611.0000000000001,-82.95994568906993,2024-07-26,,,Square Off All Legs due to Stop Loss
105.2,2024-07-23,Tuesday,12:19:00,93.75,10,PE,77000.0,Buy,2024-07-23,Tuesday,13:59:00,18.7,-750.5,-80.05333333333333,2024-07-26,,,Stop Loss Hit
106,2024-07-24,,09:16:00,80291.52,,,,,2024-07-24,,15:15:00,80144.37,-433.5,,,343.95000000000005,-439.54999999999995,Exit Condition Met For Trade
106.2,2024-07-24,Wednesday,12:16:00,73.45,10,PE,78600.0,Buy,2024-07-24,Wednesday,15:15:00,30.1,-433.5,-59.019741320626274,2024-07-26,,,Exit Condition Met For Trade
107,2024-07-25,,09:16:00,79597.89,,,,,2024-07-25,,15:15:00,80023.87,-190.5,,,45.450000000000045,-234.04999999999995,Exit Condition Met For Trade
107.1,2024-07-25,Thursday,14:10:00,75.5,10,CE,80700.0,Buy,2024-07-25,Thursday,15:15:00,56.45,-190.49999999999997,-25.231788079470196,2024-07-26,,,Exit Condition Met For Trade
108,2024-07-26,,09:16:00,80116.89,,,,,2024-07-26,,15:15:00,81376.2,3500.0,,,3500.0,-30.049999999999955,Exit Condition Met For Trade
108.1,2024-07-26,Friday,09:37:00,77.8,10,CE,80700.0,Buy,2024-07-26,Friday,13:10:00,427.8,3500.0,449.87146529562983,2024-07-26,,,Target Hit
109,2024-08-02,,09:16:00,81180.66,,,,,2024-08-02,,15:15:00,81034.01,-713.5,,,0,-713.5,Exit Condition Met For Trade
109.1,2024-08-02,Friday,09:28:00,71.55,10,CE,81900.0,Buy,2024-08-02,Friday,15:15:00,0.2,-713.5,-99.7204751921733,2024-08-02,,,Exit Condition Met For Trade
110,2024-08-05,,09:16:00,79709.77,,,,,2024-08-05,,15:15:00,78742.82,3500.0,,,3500.0,-493.04999999999995,Exit Condition Met For Trade
110.2,2024-08-05,Monday,09:17:00,121.6,10,PE,77000.0,Buy,2024-08-05,Monday,11:21:00,471.6,3500.0,287.82894736842104,2024-08-09,,,Target Hit
111,2024-08-07,,09:16:00,79474.41,,,,,2024-08-07,,15:15:00,79480.36,-211.0,,,470.45000000000005,-222.54999999999995,Exit Condition Met For Trade
111.2,2024-08-07,Wednesday,09:21:00,71.95,10,PE,77700.0,Buy,2024-08-07,Wednesday,15:15:00,50.85,-211.0,-29.325920778318274,2024-08-09,,,Exit Condition Met For Trade
112,2024-08-08,,09:16:00,79208.18,,,,,2024-08-08,,15:15:00,78915.64,-315.0,,,157.45000000000005,-534.05,Exit Condition Met For Trade
112.2,2024-08-08,Thursday,09:36:00,77.7,10,PE,77800.0,Buy,2024-08-08,Thursday,15:15:00,46.2,-315.0,-40.54054054054054,2024-08-09,,,Exit Condition Met For Trade
113,2024-08-12,,09:16:00,79470.43,,,,,2024-08-12,,15:15:00,79659.53,-694.5,,,0,-819.55,Exit Condition Met For Trade
113.1,2024-08-12,Monday,11:00:00,60.1,10,CE,81500.0,Buy,2024-08-12,Monday,15:15:00,34.95,-251.5,-41.84692179700499,2024-08-16,,,Exit Condition Met For Trade
113.2,2024-08-12,Monday,09:20:00,84.2,10,PE,77000.0,Buy,2024-08-12,Monday,15:15:00,39.9,-443.00000000000006,-52.612826603325416,2024-08-16,,,Exit Condition Met For Trade
114,2024-08-13,,09:16:00,79610.26,,,,,2024-08-13,,15:15:00,78919.19,-73.0,,,42.950000000000045,-159.04999999999995,Exit Condition Met For Trade
114.2,2024-08-13,Tuesday,14:08:00,68.2,10,PE,77500.0,Buy,2024-08-13,Tuesday,15:15:00,60.9,-73.00000000000004,-10.703812316715549,2024-08-16,,,Exit Condition Met For Trade
115,2024-08-16,,09:16:00,79723.87,,,,,2024-08-16,,15:15:00,80471.09,1009.0,,,1117.45,-758.55,Exit Condition Met For Trade
115.1,2024-08-16,Friday,09:21:00,77.85,10,CE,80200.0,Buy,2024-08-16,Friday,15:15:00,250.35,1725.0,221.57996146435454,2024-08-16,,,Exit Condition Met For Trade
115.2,2024-08-16,Friday,09:38:00,71.85,10,PE,79300.0,Buy,2024-08-16,Friday,15:15:00,0.25,-716.0,-99.65205288796102,2024-08-16,,,Exit Condition Met For Trade
116,2024-08-20,,09:16:00,80623.77,,,,,2024-08-20,,15:15:00,80791.44,-310.5,,,0,-321.04999999999995,Exit Condition Met For Trade
116.1,2024-08-20,Tuesday,10:18:00,69.05,10,CE,82000.0,Buy,2024-08-20,Tuesday,15:15:00,38.0,-310.5,-44.967414916727,2024-08-23,,,Exit Condition Met For Trade
117,2024-08-26,,09:16:00,81292.98,,,,,2024-08-26,,15:15:00,81698.26,-305.5,,,11.950000000000045,-305.5,Exit Condition Met For Trade
117.1,2024-08-26,Monday,10:19:00,75.3,10,CE,83000.0,Buy,2024-08-26,Monday,15:15:00,44.75,-305.5,-40.571049136786186,2024-08-30,,,Exit Condition Met For Trade
118,2024-08-28,,09:16:00,81760.53,,,,,2024-08-28,,15:15:00,81785.78,-310.0,,,215.45000000000005,-314.54999999999995,Exit Condition Met For Trade
118.1,2024-08-28,Wednesday,11:34:00,70.3,10,CE,82700.0,Buy,2024-08-28,Wednesday,15:15:00,39.3,-310.0,-44.09672830725462,2024-08-30,,,Exit Condition Met For Trade
119,2024-08-29,,09:16:00,81737.45,,,,,2024-08-29,,15:15:00,82064.01,405.0,,,1171.95,-284.54999999999995,Exit Condition Met For Trade
119.1,2024-08-29,Thursday,09:42:00,76.8,10,CE,82400.0,Buy,2024-08-29,Thursday,15:15:00,117.3,405.0,52.734375,2024-08-30,,,Exit Condition Met For Trade
120,2024-08-30,,09:16:00,82469.71,,,,,2024-08-30,,15:15:00,82416.73,-750.0,,,88.45000000000005,-750.05,Exit Condition Met For Trade
120.2,2024-08-30,Friday,09:33:00,76.65,10,PE,81900.0,Buy,2024-08-30,Friday,14:58:00,1.65,-750.0,-97.84735812133071,2024-08-30,,,Stop Loss Hit
121,2024-09-04,,09:16:00,82030.17,,,,,2024-09-04,,15:15:00,82381.88,-101.0,,,0,-211.04999999999995,Exit Condition Met For Trade
121.1,2024-09-04,Wednesday,13:21:00,73.9,10,CE,83100.0,Buy,2024-09-04,Wednesday,15:15:00,63.8,-101.00000000000009,-13.667117726657656,2024-09-06,,,Exit Condition Met For Trade
122,2024-09-05,,09:16:00,82509.11,,,,,2024-09-05,,15:15:00,82225.44,-293.5,,,50.450000000000045,-416.04999999999995,Exit Condition Met For Trade
122.2,2024-09-05,Thursday,10:33:00,68.0,10,PE,81600.0,Buy,2024-09-05,Thursday,15:15:00,38.65,-293.5,-43.161764705882355,2024-09-06,,,Exit Condition Met For Trade
123,2024-09-06,,09:16:00,82083.41,,,,,2024-09-06,,10:08:00,81466.45,2956.0,,,2956.0,-46.549999999999955,Square Off All Legs due to Target Profit
123.1,2024-09-06,Friday,09:29:00,88.1,10,CE,82400.0,Buy,2024-09-06,Friday,10:08:00,33.7,-543.9999999999999,-61.74801362088535,2024-09-06,,,Square Off All Legs due to Target Profit
123.2,2024-09-06,Friday,09:26:00,81.15,10,PE,81700.0,Buy,2024-09-06,Friday,10:08:00,431.15,3500.0,431.30006161429446,2024-09-06,,,Target Hit
124,2024-09-10,,09:16:00,81747.33,,,,,2024-09-10,,15:15:00,81926.7,-742.5,,,74.45000000000005,-742.5,Exit Condition Met For Trade
124.1,2024-09-10,Tuesday,13:11:00,69.0,10,CE,83000.0,Buy,2024-09-10,Tuesday,15:15:00,36.9,-321.0,-46.52173913043478,2024-09-13,,,Exit Condition Met For Trade
